 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Finan/Econo: Sim
Conjuge: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;2;-;1;1;-;3;4;1;2;2;2;18
"12 Acre";-;-;1;1;-;1;3;-;1;-;1;1;2;11
"13 Amazonas";2;1;1;5;18;3;5;5;3;11;13;14;11;92
"14 Roraima";-;-;1;-;-;1;-;-;1;3;2;1;2;11
"15 Pará";-;1;5;9;19;17;15;42;21;40;44;104;105;422
"16 Amapá";-;-;-;-;-;-;1;1;8;3;-;2;10;25
"17 Tocantins";1;1;-;1;1;7;14;10;-;3;2;3;-;43
"21 Maranhão";4;-;9;3;10;8;3;6;11;15;12;7;15;103
"22 Piauí";11;1;4;1;3;2;2;9;-;7;3;7;11;61
"23 Ceará";1;4;8;15;26;12;6;24;25;109;159;108;154;651
"24 Rio Grande do Norte";1;2;1;1;6;3;2;6;7;9;16;7;12;73
"25 Paraíba";-;4;3;79;53;57;28;11;32;35;50;9;44;405
"26 Pernambuco";8;8;25;19;53;35;75;126;116;119;187;138;199;1108
"27 Alagoas";-;-;2;-;2;1;12;4;12;6;7;7;4;57
"28 Sergipe";-;-;-;-;6;3;2;1;2;4;1;3;-;22
"29 Bahia";3;33;103;106;93;114;92;101;53;115;123;94;104;1134
"31 Minas Gerais";2;20;61;39;93;73;109;122;86;121;172;120;81;1099
"32 Espírito Santo";1;7;17;3;8;20;23;33;27;33;33;28;59;292
"33 Rio de Janeiro";2;20;68;53;53;47;44;71;107;147;202;158;222;1194
"35 São Paulo";90;159;150;199;170;130;184;224;283;240;280;196;244;2549
"41 Paraná";64;85;36;94;115;135;114;95;75;163;219;183;196;1574
"42 Santa Catarina";5;8;15;29;12;29;28;34;44;42;54;33;19;352
"43 Rio Grande do Sul";1;30;31;88;109;87;84;96;117;60;33;48;23;807
"50 Mato Grosso do Sul";10;13;21;12;16;22;13;15;9;9;9;10;5;164
"51 Mato Grosso";1;2;4;1;9;3;7;7;4;4;9;12;12;75
"52 Goiás";3;-;1;10;12;8;10;11;16;19;30;23;42;185
"53 Distrito Federal";4;3;3;11;5;6;5;7;14;19;17;23;14;131
"Total";214;402;572;779;893;825;881;1064;1078;1337;1680;1341;1592;12658
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
