 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Finan/Econo: Sim
Ex-Conjuge: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;1;-;-;1;1;-;1;-;-;-;4;8
"12 Acre";-;-;1;-;-;1;-;2;-;1;-;-;2;7
"13 Amazonas";-;-;1;1;3;-;1;1;1;2;3;1;-;14
"14 Roraima";-;-;-;-;-;1;-;-;-;3;1;1;2;8
"15 Pará";-;2;1;4;7;34;11;33;15;52;55;152;113;479
"16 Amapá";1;-;-;-;1;-;1;5;8;5;-;1;4;26
"17 Tocantins";-;-;-;1;3;-;5;6;3;1;2;3;1;25
"21 Maranhão";-;3;-;1;5;10;5;2;5;11;8;2;4;56
"22 Piauí";2;-;2;-;1;-;1;3;-;2;1;1;12;25
"23 Ceará";1;-;1;8;15;-;3;22;7;82;67;50;74;330
"24 Rio Grande do Norte";-;-;-;1;1;-;-;1;1;3;3;1;1;12
"25 Paraíba";-;-;1;27;29;34;40;3;18;25;40;4;24;245
"26 Pernambuco";2;4;8;20;28;39;65;112;108;119;108;133;249;995
"27 Alagoas";-;-;-;-;-;-;2;-;5;1;2;1;4;15
"28 Sergipe";-;-;-;-;1;2;-;-;1;-;-;-;-;4
"29 Bahia";-;15;41;82;67;97;42;79;40;62;91;98;127;841
"31 Minas Gerais";-;12;47;32;30;24;50;40;36;40;75;42;26;454
"32 Espírito Santo";-;5;4;4;-;16;6;25;9;8;7;9;14;107
"33 Rio de Janeiro";-;11;19;19;25;22;24;26;39;73;73;67;90;488
"35 São Paulo";19;65;63;117;97;56;146;110;119;75;139;71;124;1201
"41 Paraná";17;15;3;29;23;48;55;26;31;47;89;66;102;551
"42 Santa Catarina";-;1;3;2;9;8;13;3;5;6;9;9;4;72
"43 Rio Grande do Sul";-;2;9;34;24;21;27;24;53;30;23;28;17;292
"50 Mato Grosso do Sul";2;3;4;5;2;8;4;6;3;2;3;2;3;47
"51 Mato Grosso";-;-;-;-;-;1;2;8;1;1;2;9;8;32
"52 Goiás";-;-;-;1;3;2;4;2;6;6;7;16;27;74
"53 Distrito Federal";-;2;1;3;1;4;-;2;4;4;6;17;16;60
"Total";44;140;210;391;375;429;508;541;519;661;814;784;1052;6468
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
