 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Finan/Econo: Sim
Ex-Namorado(a): Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"12 Acre";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"13 Amazonas";-;-;-;1;-;1;-;-;-;-;1;1;-;4
"14 Roraima";-;-;-;-;-;-;-;-;1;-;-;1;-;2
"15 Pará";-;-;1;-;-;1;-;4;-;3;-;22;15;46
"16 Amapá";-;-;-;-;-;-;1;-;-;-;-;2;-;3
"17 Tocantins";-;-;-;-;-;-;2;-;1;1;-;-;-;4
"21 Maranhão";-;-;-;-;-;3;-;-;-;3;3;1;1;11
"22 Piauí";-;1;1;-;-;-;-;1;-;-;-;-;-;3
"23 Ceará";-;-;2;-;4;-;1;3;1;16;29;17;35;108
"24 Rio Grande do Norte";-;-;-;-;-;-;-;-;3;1;-;-;-;4
"25 Paraíba";-;-;-;5;7;7;3;-;3;1;9;1;8;44
"26 Pernambuco";-;1;2;-;1;3;3;13;12;5;50;46;39;175
"27 Alagoas";-;-;-;-;-;-;22;1;8;-;-;-;-;31
"29 Bahia";1;7;2;4;6;5;6;21;3;9;13;16;20;113
"31 Minas Gerais";-;1;10;8;3;6;5;8;9;6;32;11;8;107
"32 Espírito Santo";-;-;-;-;-;2;1;3;1;9;5;4;6;31
"33 Rio de Janeiro";-;-;5;2;5;2;6;4;9;18;19;22;37;129
"35 São Paulo";6;7;15;21;16;7;26;24;22;13;27;16;28;228
"41 Paraná";1;-;-;2;2;3;5;10;1;6;20;10;12;72
"42 Santa Catarina";-;-;5;-;1;-;-;1;1;2;1;2;-;13
"43 Rio Grande do Sul";-;-;1;4;6;13;4;1;13;8;5;3;11;69
"50 Mato Grosso do Sul";-;-;1;1;-;1;-;-;1;2;1;-;1;8
"51 Mato Grosso";-;-;-;-;2;-;1;2;-;1;-;-;-;6
"52 Goiás";-;-;1;1;-;-;-;1;-;-;3;2;4;12
"53 Distrito Federal";-;-;-;-;-;-;1;-;1;2;1;2;3;10
"Total";8;18;46;49;53;54;87;97;90;106;219;179;228;1234
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
