 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Finan/Econo: Sim
Filha(a): Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;1;-;1;-;1;2;-;1;-;-;1;7
"12 Acre";1;1;3;-;4;2;-;1;3;-;-;1;1;17
"13 Amazonas";-;3;2;4;1;10;7;9;10;15;27;8;9;105
"14 Roraima";-;-;-;-;-;-;-;-;2;1;1;-;1;5
"15 Pará";-;-;2;2;6;2;9;11;9;12;21;16;31;121
"16 Amapá";-;-;-;-;-;-;2;1;1;2;-;-;-;6
"17 Tocantins";1;3;1;1;2;3;3;2;5;6;6;2;2;37
"21 Maranhão";-;3;9;8;11;6;4;4;12;10;10;7;7;91
"22 Piauí";7;2;3;4;11;-;2;5;2;2;2;3;3;46
"23 Ceará";-;1;-;8;10;17;19;29;20;54;59;37;50;304
"24 Rio Grande do Norte";-;2;7;1;4;-;3;4;4;4;7;4;1;41
"25 Paraíba";1;-;-;6;6;2;3;3;4;3;8;3;10;49
"26 Pernambuco";3;7;6;8;25;31;60;67;41;47;59;38;50;442
"27 Alagoas";-;-;1;-;1;4;26;7;16;3;5;6;4;73
"28 Sergipe";-;-;-;5;8;3;8;2;6;6;4;2;6;50
"29 Bahia";2;8;9;14;8;18;18;31;14;26;43;11;10;212
"31 Minas Gerais";2;16;32;41;68;94;109;125;129;142;142;76;81;1057
"32 Espírito Santo";-;7;8;4;8;30;16;24;17;20;20;24;37;215
"33 Rio de Janeiro";1;8;28;25;43;36;28;40;55;66;51;41;55;477
"35 São Paulo";66;52;103;52;63;46;68;89;155;151;178;149;183;1355
"41 Paraná";5;12;14;67;115;121;105;93;109;178;209;174;163;1365
"42 Santa Catarina";5;4;21;23;36;31;25;29;29;30;35;15;22;305
"43 Rio Grande do Sul";-;14;47;83;79;82;87;76;91;72;44;53;23;751
"50 Mato Grosso do Sul";9;23;26;27;36;41;28;18;8;11;24;9;15;275
"51 Mato Grosso";1;-;2;2;2;2;2;3;2;3;4;-;3;26
"52 Goiás";1;4;4;5;17;15;15;9;11;18;30;20;30;179
"53 Distrito Federal";3;3;5;6;17;20;17;11;9;11;8;8;9;127
"Total";108;173;334;396;582;616;665;695;764;894;997;707;807;7738
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
