 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Finan/Econo: Sim
Irmão(a): Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;-;-;-;-;-;2;-;-;-;-;-;2
"13 Amazonas";-;-;1;1;3;-;2;2;3;7;3;4;1;27
"15 Pará";-;-;1;-;1;1;1;1;6;6;8;17;9;51
"16 Amapá";-;-;-;-;-;-;1;-;1;-;-;2;-;4
"17 Tocantins";-;-;1;-;-;-;-;1;-;3;1;-;-;6
"21 Maranhão";-;-;-;1;2;1;-;2;2;4;2;3;2;19
"22 Piauí";2;-;2;-;-;2;-;-;-;-;1;-;1;8
"23 Ceará";-;-;1;2;1;3;6;4;3;16;24;13;19;92
"24 Rio Grande do Norte";-;-;1;1;-;-;1;-;1;-;-;-;-;4
"25 Paraíba";-;-;-;1;2;5;3;-;4;1;2;1;4;23
"26 Pernambuco";-;3;1;3;5;6;25;27;16;19;18;22;31;176
"27 Alagoas";-;-;-;1;-;1;-;2;-;1;2;-;2;9
"28 Sergipe";-;-;-;1;2;1;1;1;-;1;-;1;2;10
"29 Bahia";2;-;6;6;5;12;5;10;7;10;7;8;4;82
"31 Minas Gerais";-;6;7;10;18;26;35;26;41;36;41;22;18;286
"32 Espírito Santo";-;1;1;2;1;5;2;2;3;2;2;7;10;38
"33 Rio de Janeiro";-;-;8;4;5;10;7;9;9;16;18;12;30;128
"35 São Paulo";7;11;15;20;15;13;24;35;42;34;61;37;46;360
"41 Paraná";4;2;3;4;7;14;11;10;19;30;42;33;21;200
"42 Santa Catarina";-;3;4;7;3;3;13;8;3;10;4;2;3;63
"43 Rio Grande do Sul";-;4;13;15;16;18;23;11;23;11;4;11;3;152
"50 Mato Grosso do Sul";2;8;5;6;10;10;7;5;3;1;8;5;2;72
"51 Mato Grosso";-;-;-;-;-;-;1;-;-;-;1;-;-;2
"52 Goiás";-;1;-;2;5;2;3;-;4;1;9;3;5;35
"53 Distrito Federal";4;4;-;1;2;3;4;3;1;1;1;2;3;29
"Total";21;43;70;88;103;136;175;161;191;210;259;205;216;1878
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
