 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Finan/Econo: Sim
Mãe: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;-;-;-;-;-;3;1;1;-;-;-;5
"12 Acre";-;1;-;-;1;-;-;-;-;-;-;1;-;3
"13 Amazonas";-;5;-;3;6;6;7;6;6;4;5;7;1;56
"14 Roraima";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"15 Pará";-;-;3;11;-;6;3;3;7;1;6;7;5;52
"16 Amapá";-;-;-;-;-;-;1;-;1;2;-;-;-;4
"17 Tocantins";-;-;-;-;-;-;1;4;12;7;2;3;1;30
"21 Maranhão";-;1;2;-;3;3;8;3;-;3;4;2;-;29
"22 Piauí";-;-;2;2;-;-;7;13;5;1;4;-;6;40
"23 Ceará";3;-;4;8;1;2;6;20;13;12;6;9;10;94
"24 Rio Grande do Norte";-;1;5;1;1;-;1;6;1;-;1;1;1;19
"25 Paraíba";-;-;-;1;-;1;1;1;3;3;3;-;2;15
"26 Pernambuco";12;22;12;14;18;10;8;23;16;17;15;11;32;210
"27 Alagoas";-;-;-;-;-;-;24;2;8;-;-;2;1;37
"28 Sergipe";-;-;1;1;1;1;1;1;-;-;-;-;-;6
"29 Bahia";1;9;2;2;4;2;4;9;1;9;10;4;6;63
"31 Minas Gerais";-;2;4;19;13;28;37;22;37;44;33;22;20;281
"32 Espírito Santo";-;-;7;-;-;2;-;7;-;3;5;4;5;33
"33 Rio de Janeiro";3;10;15;18;31;20;23;16;41;21;27;21;28;274
"35 São Paulo";21;20;13;24;16;23;26;72;110;56;79;33;67;560
"41 Paraná";4;2;19;34;39;17;38;32;69;69;55;151;107;636
"42 Santa Catarina";1;2;6;7;5;18;9;19;15;13;4;9;3;111
"43 Rio Grande do Sul";-;13;19;18;27;23;24;25;32;15;6;5;4;211
"50 Mato Grosso do Sul";8;4;11;9;18;12;13;11;4;11;11;4;6;122
"51 Mato Grosso";-;1;-;1;-;4;1;-;-;-;1;-;1;9
"52 Goiás";-;-;1;8;4;1;8;3;4;4;20;16;15;84
"53 Distrito Federal";12;4;4;3;4;6;5;4;7;3;4;4;1;61
"Total";65;97;130;184;192;185;256;305;393;299;301;316;323;3046
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
