 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Finan/Econo: Sim
Namorado(a): Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;1;-;-;1;2
"12 Acre";-;-;1;-;-;-;-;-;-;-;1;-;-;2
"13 Amazonas";1;-;2;4;1;1;1;-;1;1;2;1;1;16
"15 Pará";-;1;1;-;-;1;1;1;5;2;5;11;9;37
"16 Amapá";-;-;-;-;-;-;1;-;-;-;-;-;2;3
"17 Tocantins";-;-;-;-;-;1;2;2;1;-;-;2;1;9
"21 Maranhão";-;-;-;1;3;1;-;1;1;1;2;1;2;13
"22 Piauí";-;1;1;-;-;1;-;1;-;-;1;1;2;8
"23 Ceará";-;1;-;-;2;1;1;5;2;3;21;11;19;66
"24 Rio Grande do Norte";-;-;-;-;-;-;-;-;1;1;2;-;-;4
"25 Paraíba";-;-;-;-;3;1;1;1;1;1;2;-;3;13
"26 Pernambuco";-;1;1;2;4;3;5;6;6;6;7;6;19;66
"27 Alagoas";-;-;-;-;-;-;21;1;8;-;-;1;2;33
"28 Sergipe";-;-;-;-;-;-;-;-;-;1;-;2;-;3
"29 Bahia";1;12;-;1;4;8;5;6;5;9;9;7;9;76
"31 Minas Gerais";1;1;5;3;5;7;14;11;10;9;18;24;13;121
"32 Espírito Santo";-;-;-;1;1;1;4;5;3;5;4;4;8;36
"33 Rio de Janeiro";-;3;3;3;5;4;3;4;13;20;13;28;58;157
"35 São Paulo";3;4;10;14;16;7;13;16;25;25;19;20;35;207
"41 Paraná";1;1;3;3;2;3;7;9;7;16;31;13;12;108
"42 Santa Catarina";-;-;3;1;3;3;3;2;4;3;5;2;2;31
"43 Rio Grande do Sul";-;3;2;9;10;7;5;7;6;6;8;7;3;73
"50 Mato Grosso do Sul";-;-;2;2;2;2;1;1;3;1;-;1;-;15
"51 Mato Grosso";-;-;-;-;-;2;-;1;1;2;-;4;-;10
"52 Goiás";-;-;-;3;-;1;1;1;2;4;3;4;8;27
"53 Distrito Federal";1;-;-;1;2;-;-;-;3;-;2;2;2;13
"Total";8;28;34;48;63;55;89;81;108;117;155;152;211;1149
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
