 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Finan/Econo: Sim
Padrasto: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"12 Acre";-;-;1;-;-;-;-;-;-;-;1;-;-;2
"13 Amazonas";-;-;2;5;4;3;1;-;1;1;-;1;1;19
"14 Roraima";-;-;-;-;-;-;-;-;-;-;1;-;1;2
"15 Pará";-;-;4;6;-;2;1;1;2;2;3;7;3;31
"16 Amapá";-;-;-;-;-;-;1;-;-;1;-;-;-;2
"17 Tocantins";-;-;-;-;-;1;1;3;-;-;-;-;-;5
"21 Maranhão";-;-;-;1;-;-;1;-;1;-;-;-;-;3
"22 Piauí";-;-;-;-;-;-;-;2;2;-;-;-;-;4
"23 Ceará";-;-;1;-;1;-;1;-;1;2;-;3;1;10
"25 Paraíba";1;-;-;1;-;-;-;-;-;1;-;-;-;3
"26 Pernambuco";4;5;1;2;1;2;2;4;3;3;14;2;8;51
"27 Alagoas";-;1;-;-;-;-;24;1;8;-;-;1;-;35
"28 Sergipe";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"29 Bahia";2;-;1;-;2;1;2;4;-;5;5;1;4;27
"31 Minas Gerais";-;-;2;2;1;5;1;4;6;14;4;3;1;43
"32 Espírito Santo";-;-;-;1;-;-;-;-;-;2;-;-;2;5
"33 Rio de Janeiro";-;-;-;4;5;4;2;2;3;5;5;2;3;35
"35 São Paulo";2;3;2;4;6;4;3;11;15;16;12;5;12;95
"41 Paraná";-;1;2;5;4;3;1;7;7;14;15;14;11;84
"42 Santa Catarina";1;2;-;4;2;6;1;1;2;2;1;3;-;25
"43 Rio Grande do Sul";2;4;5;7;5;5;14;4;8;5;1;2;1;63
"50 Mato Grosso do Sul";2;-;1;1;1;1;2;-;3;3;3;1;-;18
"51 Mato Grosso";-;-;-;-;-;1;-;-;-;1;1;-;3;6
"52 Goiás";-;1;-;4;1;1;6;-;1;1;4;1;6;26
"53 Distrito Federal";1;-;1;1;1;2;-;-;-;1;2;2;-;11
"Total";15;17;23;48;34;41;64;44;63;79;72;48;58;606
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
