 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Finan/Econo: Sim
Pai: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;-;-;-;1;-;-;1;1;-;-;-;3
"12 Acre";-;1;-;-;1;-;-;-;-;-;-;-;-;2
"13 Amazonas";1;3;1;2;5;7;9;4;3;4;3;6;1;49
"14 Roraima";-;-;-;-;-;-;-;-;-;-;2;1;-;3
"15 Pará";-;-;3;12;3;5;2;2;4;3;8;6;3;51
"16 Amapá";-;1;-;-;-;-;1;-;1;2;-;1;-;6
"17 Tocantins";-;-;2;1;1;-;-;-;2;1;-;1;1;9
"21 Maranhão";1;-;4;1;1;-;11;1;4;-;2;-;6;31
"22 Piauí";-;-;2;1;1;2;1;7;5;1;5;1;3;29
"23 Ceará";3;4;2;7;2;2;4;22;9;10;11;7;10;93
"24 Rio Grande do Norte";-;-;3;1;1;-;2;1;1;-;-;-;-;9
"25 Paraíba";-;-;-;-;2;1;2;-;4;2;2;-;7;20
"26 Pernambuco";-;7;1;-;8;6;5;20;55;76;45;18;70;311
"27 Alagoas";-;-;-;1;-;1;-;-;4;-;1;-;-;7
"28 Sergipe";-;-;-;-;-;1;-;2;-;-;-;-;-;3
"29 Bahia";2;8;4;2;1;7;5;13;2;11;10;5;13;83
"31 Minas Gerais";-;4;5;7;10;16;28;18;24;21;20;11;23;187
"32 Espírito Santo";-;-;2;1;-;1;-;2;1;1;5;1;2;16
"33 Rio de Janeiro";2;7;12;9;16;13;15;10;27;15;24;23;26;199
"35 São Paulo";8;12;6;13;15;21;21;69;100;60;62;24;45;456
"41 Paraná";2;5;18;27;34;18;29;24;54;48;46;110;69;484
"42 Santa Catarina";1;2;4;4;-;15;9;11;17;8;8;3;4;86
"43 Rio Grande do Sul";-;14;12;11;19;17;12;24;27;14;4;4;3;161
"50 Mato Grosso do Sul";11;4;8;5;8;10;9;8;7;5;6;1;3;85
"51 Mato Grosso";-;-;-;-;1;3;1;1;-;-;-;1;5;12
"52 Goiás";-;-;-;6;1;3;4;2;4;-;15;12;9;56
"53 Distrito Federal";6;6;5;3;4;3;3;5;3;5;6;4;3;56
"Total";37;78;94;114;134;153;173;246;359;288;285;240;306;2507
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
