 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Física: Sim
Conjuge: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";13;13;63;83;79;118;94;113;172;181;184;166;196;1475
"12 Acre";18;66;61;115;113;102;179;174;144;156;135;164;160;1587
"13 Amazonas";38;160;168;254;450;374;399;350;324;336;405;355;357;3970
"14 Roraima";33;40;61;54;82;105;52;64;80;134;112;111;99;1027
"15 Pará";2;33;182;204;401;422;523;636;409;447;610;1064;1088;6021
"16 Amapá";8;22;28;42;56;56;45;44;82;89;102;76;86;736
"17 Tocantins";51;83;170;186;252;354;366;400;431;394;404;359;291;3741
"21 Maranhão";14;48;83;157;329;350;253;247;335;429;437;378;440;3500
"22 Piauí";64;52;115;136;467;126;173;249;239;250;266;183;252;2572
"23 Ceará";44;68;124;233;216;299;349;362;400;729;914;756;742;5236
"24 Rio Grande do Norte";9;65;121;122;225;202;189;229;288;317;319;227;283;2596
"25 Paraíba";59;72;187;267;286;256;297;110;289;309;357;287;309;3085
"26 Pernambuco";198;418;752;812;1213;1160;1225;1169;1317;1585;1855;1481;1711;14896
"27 Alagoas";13;45;89;114;174;163;267;241;336;415;458;369;390;3074
"28 Sergipe";1;3;4;30;71;88;78;55;63;115;143;191;205;1047
"29 Bahia";116;242;476;559;834;936;867;1078;1185;1515;1435;1132;1355;11730
"31 Minas Gerais";177;838;2523;3502;5079;6465;7372;6434;6804;7189;6999;5356;4674;63412
"32 Espírito Santo";10;65;128;219;406;589;676;1015;1048;1151;927;688;904;7826
"33 Rio de Janeiro";108;559;1103;1583;1894;2282;2191;2768;3480;3979;4703;4050;4742;33442
"35 São Paulo";2144;2994;4339;6175;5981;6131;7132;8838;11068;11992;12594;10510;12462;102360
"41 Paraná";296;478;836;1585;2067;2342;2512;2560;3049;3384;3584;3222;3028;28943
"42 Santa Catarina";112;355;733;1060;935;1219;1201;1099;1196;1173;1252;1109;1136;12580
"43 Rio Grande do Sul";16;588;1232;2013;2025;2160;2019;2008;2340;2737;3031;2288;2039;24496
"50 Mato Grosso do Sul";409;648;848;798;892;1074;888;942;1056;1125;1242;1190;1063;12175
"51 Mato Grosso";34;73;125;192;248;292;349;399;368;418;429;447;425;3799
"52 Goiás";95;224;215;426;536;625;608;702;700;797;963;858;1050;7799
"53 Distrito Federal";70;70;93;126;154;161;119;136;186;204;272;298;316;2205
"Total";4152;8322;14859;21047;25465;28451;30423;32422;37389;41550;44132;37315;39803;365330
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
