 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Física: Sim
Ex-Conjuge: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";7;1;16;16;20;24;31;35;45;61;42;60;50;408
"12 Acre";3;19;32;41;37;45;45;53;58;38;58;37;56;522
"13 Amazonas";17;63;67;99;175;106;114;108;99;122;154;87;108;1319
"14 Roraima";14;11;13;11;35;15;9;11;25;26;38;31;24;263
"15 Pará";-;11;58;71;160;263;289;344;225;255;329;789;658;3452
"16 Amapá";10;12;10;14;14;22;10;29;28;23;33;39;21;265
"17 Tocantins";11;21;28;43;53;91;114;96;140;119;87;101;61;965
"21 Maranhão";1;11;37;44;78;71;120;110;139;182;213;126;175;1307
"22 Piauí";14;17;20;21;168;45;52;80;90;62;65;56;92;782
"23 Ceará";13;13;29;61;83;70;60;125;126;304;224;206;225;1539
"24 Rio Grande do Norte";-;15;28;37;49;40;42;64;58;68;71;53;90;615
"25 Paraíba";24;25;62;88;123;87;101;53;101;98;128;71;115;1076
"26 Pernambuco";41;164;221;263;391;430;569;607;740;736;704;618;1004;6488
"27 Alagoas";2;9;18;24;40;41;50;53;78;92;115;99;124;745
"28 Sergipe";1;-;5;6;28;21;15;25;16;24;42;65;78;326
"29 Bahia";39;80;159;224;336;366;359;482;543;560;573;445;592;4758
"31 Minas Gerais";46;204;580;775;1171;1330;1542;1440;1663;1614;1732;1227;1201;14525
"32 Espírito Santo";1;27;63;56;200;199;186;299;317;339;303;274;344;2608
"33 Rio de Janeiro";41;185;455;617;795;1041;1015;1390;1694;2076;2454;1982;2577;16322
"35 São Paulo";579;845;1285;2044;1990;2067;2762;3446;4233;4550;4702;3909;4658;37070
"41 Paraná";62;89;192;403;577;729;716;731;863;1012;1112;985;993;8464
"42 Santa Catarina";25;134;207;324;253;375;323;308;280;274;330;258;281;3372
"43 Rio Grande do Sul";2;136;262;513;535;678;655;654;924;1139;1077;732;710;8017
"50 Mato Grosso do Sul";90;194;224;223;223;277;240;286;306;325;314;310;330;3342
"51 Mato Grosso";4;18;48;54;86;113;156;120;133;126;125;107;187;1277
"52 Goiás";20;60;40;103;172;163;172;185;200;266;264;266;368;2279
"53 Distrito Federal";15;10;19;38;49;26;31;40;46;84;86;103;133;680
"Total";1082;2374;4178;6213;7841;8735;9778;11174;13170;14575;15375;13036;15255;122786
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
