 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Física: Sim
Ex-Namorado(a): Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";1;-;-;6;3;10;6;4;2;21;13;7;11;84
"12 Acre";-;6;6;7;19;8;17;21;14;15;10;7;15;145
"13 Amazonas";5;5;13;25;34;26;11;17;29;33;51;18;47;314
"14 Roraima";4;3;3;3;4;5;3;1;3;11;9;5;7;61
"15 Pará";-;7;16;27;32;46;42;71;45;52;58;138;127;661
"16 Amapá";1;2;5;5;3;3;4;5;6;4;5;7;6;56
"17 Tocantins";3;3;16;14;22;28;31;24;41;33;25;32;23;295
"21 Maranhão";-;5;4;7;31;35;29;34;34;44;55;37;41;356
"22 Piauí";2;6;9;11;75;16;16;31;30;25;20;12;15;268
"23 Ceará";2;2;12;15;23;22;31;37;38;101;124;116;111;634
"24 Rio Grande do Norte";-;2;11;9;13;14;9;12;27;15;22;14;18;166
"25 Paraíba";4;5;14;19;23;21;25;8;25;27;37;15;21;244
"26 Pernambuco";11;26;51;55;80;102;92;102;105;126;153;146;220;1269
"27 Alagoas";-;-;3;5;4;5;32;12;23;13;24;13;21;155
"28 Sergipe";-;-;3;2;4;5;2;1;2;3;7;16;10;55
"29 Bahia";11;21;28;35;54;74;75;102;104;110;109;113;133;969
"31 Minas Gerais";11;108;283;358;473;619;675;660;731;709;764;566;567;6524
"32 Espírito Santo";-;10;10;10;28;41;72;115;98;107;99;85;89;764
"33 Rio de Janeiro";9;65;118;176;219;269;270;355;483;569;696;582;809;4620
"35 São Paulo";216;228;382;640;684;678;869;1084;1296;1494;1424;1231;1463;11689
"41 Paraná";9;22;60;99;130;153;177;172;198;209;290;218;228;1965
"42 Santa Catarina";6;50;75;104;71;107;101;89;75;72;64;70;54;938
"43 Rio Grande do Sul";2;32;58;112;136;178;203;199;212;283;281;193;191;2080
"50 Mato Grosso do Sul";25;42;40;51;46;48;41;64;60;69;55;51;62;654
"51 Mato Grosso";1;4;6;14;22;19;29;29;29;29;22;39;35;278
"52 Goiás";8;15;12;39;61;51;47;58;59;43;75;75;101;644
"53 Distrito Federal";4;5;8;12;17;12;6;11;19;18;25;16;42;195
"Total";335;674;1246;1860;2311;2595;2915;3318;3788;4235;4517;3822;4467;36083
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
