 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Física: Sim
Filha(a): Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;1;4;3;3;14;9;14;20;16;14;13;18;129
"12 Acre";-;4;5;8;10;11;6;6;6;13;10;8;13;100
"13 Amazonas";1;3;6;16;34;32;37;33;34;39;60;55;47;397
"14 Roraima";6;2;8;6;8;14;7;12;11;2;12;8;8;104
"15 Pará";-;2;14;7;23;22;31;32;21;32;53;65;54;356
"16 Amapá";2;1;1;-;4;4;1;5;1;7;10;3;1;40
"17 Tocantins";3;7;14;23;20;29;46;51;43;40;34;47;30;387
"21 Maranhão";1;3;9;15;33;38;32;14;31;43;38;51;41;349
"22 Piauí";10;5;17;22;67;14;23;40;42;48;41;28;37;394
"23 Ceará";9;14;5;25;36;47;57;70;75;108;143;111;135;835
"24 Rio Grande do Norte";1;3;15;11;28;26;21;31;23;26;28;25;30;268
"25 Paraíba";6;7;6;30;22;24;34;17;32;32;42;26;49;327
"26 Pernambuco";7;26;54;80;93;102;124;294;227;199;207;191;232;1836
"27 Alagoas";1;5;5;13;13;12;46;29;40;31;39;39;25;298
"28 Sergipe";-;-;1;3;12;19;8;3;13;13;15;18;20;125
"29 Bahia";10;27;44;43;64;68;83;108;115;136;124;106;128;1056
"31 Minas Gerais";22;90;303;485;783;1009;1197;1133;1195;1202;1203;908;765;10295
"32 Espírito Santo";1;10;16;29;48;81;82;116;144;171;116;127;138;1079
"33 Rio de Janeiro";16;57;130;148;186;239;229;342;412;467;596;505;560;3887
"35 São Paulo";243;339;522;766;841;823;1076;1615;1965;1878;1930;1678;1914;15590
"41 Paraná";24;59;82;233;297;379;422;407;546;592;650;598;516;4805
"42 Santa Catarina";17;60;94;134;166;166;176;201;218;202;185;183;153;1955
"43 Rio Grande do Sul";4;95;237;313;378;340;374;386;457;545;526;422;322;4399
"50 Mato Grosso do Sul";72;90;141;118;126;148;140;125;139;170;136;158;151;1714
"51 Mato Grosso";3;5;10;22;22;20;25;50;49;41;41;44;34;366
"52 Goiás";13;28;26;100;99;91;97;104;111;102;139;129;144;1183
"53 Distrito Federal";10;3;19;29;30;22;18;17;34;34;31;25;38;310
"Total";482;946;1788;2682;3446;3794;4401;5255;6004;6189;6423;5571;5603;52584
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
