 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Física: Sim
Irmão(a): Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";5;2;11;5;11;18;13;24;19;29;22;21;25;205
"12 Acre";3;11;11;15;11;10;20;24;29;12;17;17;25;205
"13 Amazonas";14;8;20;27;80;34;64;69;65;89;90;70;81;711
"14 Roraima";25;14;24;9;17;19;22;14;29;27;24;16;20;260
"15 Pará";1;6;22;27;54;54;65;73;68;78;113;155;182;898
"16 Amapá";3;7;-;6;8;5;7;5;8;20;8;13;10;100
"17 Tocantins";11;17;29;41;45;57;77;105;121;91;63;84;78;819
"21 Maranhão";3;8;15;20;56;54;42;30;59;72;66;80;68;573
"22 Piauí";12;19;29;23;104;29;26;47;47;53;48;43;43;523
"23 Ceará";9;9;16;31;42;64;82;77;80;148;201;141;153;1053
"24 Rio Grande do Norte";2;11;20;38;37;41;36;34;42;46;42;42;55;446
"25 Paraíba";11;15;24;36;35;41;43;15;68;64;59;50;43;504
"26 Pernambuco";34;67;106;113;160;154;220;166;238;265;271;229;237;2260
"27 Alagoas";-;7;16;28;30;42;24;42;46;91;75;61;66;528
"28 Sergipe";-;-;4;7;20;14;11;8;24;21;31;39;31;210
"29 Bahia";20;51;47;78;129;147;134;171;232;256;257;228;236;1986
"31 Minas Gerais";32;145;435;580;961;1251;1473;1277;1407;1501;1410;1068;927;12467
"32 Espírito Santo";-;6;22;43;59;79;99;135;155;157;158;129;132;1174
"33 Rio de Janeiro";16;55;171;249;254;349;366;436;520;631;777;722;779;5325
"35 São Paulo";341;441;716;1086;1061;1094;1350;2237;2533;2476;2506;2140;2350;20331
"41 Paraná";19;54;119;225;279;330;400;413;533;502;592;472;462;4400
"42 Santa Catarina";17;69;136;158;163;185;173;205;191;209;204;142;112;1964
"43 Rio Grande do Sul";14;99;245;279;248;297;308;289;371;415;351;321;275;3512
"50 Mato Grosso do Sul";124;98;135;144;160;181;145;171;180;200;237;165;194;2134
"51 Mato Grosso";3;8;20;21;23;44;45;74;71;60;55;50;42;516
"52 Goiás";17;57;46;80;119;111;110;106;114;148;133;124;145;1310
"53 Distrito Federal";23;17;22;29;36;22;16;16;19;24;38;35;44;341
"Total";759;1301;2461;3398;4202;4726;5371;6263;7269;7685;7848;6657;6815;64755
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
