 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Física: Sim
Madrasta: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;1;-;-;1;4;2;-;2;3;1;2;1;17
"12 Acre";-;3;1;4;3;-;1;5;-;5;-;4;2;28
"13 Amazonas";2;1;4;5;15;7;5;3;8;5;9;2;7;73
"14 Roraima";1;-;-;1;1;-;-;1;4;-;2;-;-;10
"15 Pará";-;2;2;8;20;18;15;23;20;26;17;29;29;209
"16 Amapá";-;1;-;-;-;1;2;-;-;-;5;1;1;11
"17 Tocantins";-;1;1;1;4;4;5;8;11;8;5;7;2;57
"21 Maranhão";-;2;1;2;4;1;2;4;2;2;3;7;9;39
"22 Piauí";-;-;2;4;3;-;2;1;1;3;3;1;1;21
"23 Ceará";-;1;3;2;-;5;5;6;3;4;8;5;9;51
"24 Rio Grande do Norte";1;1;2;1;1;-;1;4;3;1;1;2;2;20
"25 Paraíba";2;-;1;1;-;2;3;-;1;3;3;1;2;19
"26 Pernambuco";1;4;9;4;5;7;6;8;12;16;14;10;15;111
"27 Alagoas";1;-;-;-;-;3;16;2;7;1;4;3;4;41
"28 Sergipe";-;-;-;-;1;1;2;2;2;1;1;1;-;11
"29 Bahia";2;9;9;7;8;13;21;23;19;25;13;9;6;164
"31 Minas Gerais";1;4;20;27;61;66;68;70;67;73;80;53;46;636
"32 Espírito Santo";-;1;1;4;6;6;16;9;7;19;15;13;11;108
"33 Rio de Janeiro";5;8;21;36;36;48;34;52;74;67;83;64;76;604
"35 São Paulo";53;42;44;90;76;72;121;149;191;160;186;128;177;1489
"41 Paraná";2;10;6;28;43;34;53;58;58;74;68;58;62;554
"42 Santa Catarina";5;3;13;17;12;17;14;10;17;16;7;9;9;149
"43 Rio Grande do Sul";4;18;32;35;26;43;34;28;32;38;42;33;30;395
"50 Mato Grosso do Sul";7;12;11;9;17;10;10;11;6;11;9;9;10;132
"51 Mato Grosso";3;1;1;2;7;3;-;8;3;3;4;5;4;44
"52 Goiás";2;3;2;5;10;10;11;8;11;20;16;9;24;131
"53 Distrito Federal";5;3;6;11;4;5;8;5;8;6;9;7;15;92
"Total";97;131;192;304;364;380;457;498;569;590;608;472;554;5216
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
