 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Física: Sim
Mãe: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";3;2;8;8;4;12;7;25;22;19;20;21;23;174
"12 Acre";1;7;11;7;12;17;16;17;22;17;13;4;32;176
"13 Amazonas";15;16;49;38;74;71;80;46;69;99;78;58;71;764
"14 Roraima";9;4;1;3;7;9;9;10;20;38;22;14;13;159
"15 Pará";-;2;22;91;84;78;143;117;103;142;211;165;193;1351
"16 Amapá";4;1;-;1;10;3;5;2;17;22;29;4;9;107
"17 Tocantins";6;16;21;21;30;57;145;110;56;57;62;47;48;676
"21 Maranhão";5;16;30;30;36;41;33;39;31;40;54;47;61;463
"22 Piauí";12;29;48;37;62;33;43;83;73;90;96;48;39;693
"23 Ceará";22;14;25;124;46;354;339;201;155;182;250;240;310;2262
"24 Rio Grande do Norte";1;7;18;18;42;21;25;55;38;34;39;14;23;335
"25 Paraíba";18;20;18;47;13;12;20;11;18;43;36;20;45;321
"26 Pernambuco";50;90;107;147;220;298;299;376;253;294;246;207;297;2884
"27 Alagoas";2;3;10;20;8;22;53;29;44;35;39;37;58;360
"28 Sergipe";-;-;10;9;14;24;18;12;9;9;15;16;22;158
"29 Bahia";39;109;80;91;122;119;117;140;133;169;126;85;134;1464
"31 Minas Gerais";37;118;248;394;669;838;980;906;963;969;910;699;574;8305
"32 Espírito Santo";2;6;29;27;34;70;103;90;116;168;167;120;153;1085
"33 Rio de Janeiro";120;129;265;416;412;476;463;548;803;848;990;690;806;6966
"35 São Paulo";391;568;651;979;842;818;1187;2177;2506;1879;2238;1490;1968;17694
"41 Paraná";62;93;189;567;851;789;759;706;1061;1151;1096;862;945;9131
"42 Santa Catarina";21;93;101;145;166;224;236;225;230;201;160;160;170;2132
"43 Rio Grande do Sul";32;250;451;466;512;570;734;538;544;456;459;273;307;5592
"50 Mato Grosso do Sul";95;117;161;208;209;205;210;150;115;115;122;98;118;1923
"51 Mato Grosso";2;7;16;37;38;33;50;57;69;35;42;42;44;472
"52 Goiás";17;104;74;264;248;212;203;145;150;184;298;249;451;2599
"53 Distrito Federal";47;47;63;67;82;64;54;79;94;90;95;93;107;982
"Total";1013;1868;2706;4262;4847;5470;6331;6894;7714;7386;7913;5803;7021;69228
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
