 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Física: Sim
Namorado(a): Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";2;5;3;6;5;12;11;15;16;24;24;17;20;160
"12 Acre";2;10;5;12;26;16;29;41;27;35;30;32;46;311
"13 Amazonas";13;34;24;42;37;35;43;34;56;38;90;83;86;615
"14 Roraima";7;3;4;6;7;7;7;5;16;7;19;5;12;105
"15 Pará";2;15;37;52;50;69;83;71;76;87;90;131;154;917
"16 Amapá";2;6;8;7;7;7;7;5;9;6;10;8;5;87
"17 Tocantins";11;14;38;38;60;108;93;83;75;90;71;72;54;807
"21 Maranhão";3;6;5;24;41;33;30;34;55;72;77;73;79;532
"22 Piauí";5;4;25;14;68;32;26;48;53;57;55;38;44;469
"23 Ceará";6;5;17;26;19;45;51;55;100;131;171;167;172;965
"24 Rio Grande do Norte";3;8;13;20;35;27;27;23;41;35;46;28;45;351
"25 Paraíba";9;13;15;16;20;19;39;12;39;47;51;41;52;373
"26 Pernambuco";21;49;63;98;137;205;133;111;139;157;211;168;197;1689
"27 Alagoas";-;2;4;9;17;13;49;18;36;37;47;44;37;313
"28 Sergipe";1;2;2;5;5;8;7;2;6;18;9;21;35;121
"29 Bahia";20;52;39;42;107;131;146;145;189;212;222;167;228;1700
"31 Minas Gerais";43;164;418;620;937;1186;1198;1237;1352;1491;1446;1272;1157;12521
"32 Espírito Santo";1;4;16;34;38;69;101;166;154;248;190;149;171;1341
"33 Rio de Janeiro";11;75;157;275;267;390;306;454;624;813;958;1020;1149;6499
"35 São Paulo";223;295;560;824;859;886;1061;1356;1828;2048;2175;2023;2371;16509
"41 Paraná";19;34;87;142;198;205;278;320;411;403;498;465;409;3469
"42 Santa Catarina";10;55;88;115;142;180;149;154;167;155;192;182;163;1752
"43 Rio Grande do Sul";3;68;162;259;286;338;340;319;356;459;519;410;381;3900
"50 Mato Grosso do Sul";53;56;98;91;103;96;89;88;119;128;131;144;128;1324
"51 Mato Grosso";6;5;15;25;25;37;48;49;45;46;64;60;69;494
"52 Goiás";24;29;33;68;84;98;117;106;129;130;175;152;215;1360
"53 Distrito Federal";12;12;16;19;21;19;16;18;30;44;43;40;65;355
"Total";512;1025;1952;2889;3601;4271;4484;4969;6148;7018;7614;7012;7544;59039
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
