 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Física: Sim
Padrasto: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";1;1;5;6;4;16;2;13;28;7;9;8;12;112
"12 Acre";8;10;10;12;10;7;17;7;12;14;9;8;18;142
"13 Amazonas";39;41;56;58;73;49;34;40;40;60;54;48;56;648
"14 Roraima";11;5;9;4;4;10;10;10;8;7;25;13;14;130
"15 Pará";26;63;81;95;85;117;167;114;79;117;127;160;187;1418
"16 Amapá";3;7;2;2;7;5;5;4;10;8;11;5;5;74
"17 Tocantins";5;8;8;11;20;39;30;41;23;35;35;25;20;300
"21 Maranhão";3;6;11;21;15;18;15;19;28;39;28;33;43;279
"22 Piauí";2;5;10;13;20;7;18;16;44;15;29;14;26;219
"23 Ceará";5;4;8;18;11;25;24;40;27;52;62;54;53;383
"24 Rio Grande do Norte";1;2;9;5;13;15;11;14;29;39;26;13;22;199
"25 Paraíba";5;8;11;11;6;9;12;4;12;27;20;17;15;157
"26 Pernambuco";15;35;47;41;63;80;68;68;99;108;101;86;103;914
"27 Alagoas";1;4;1;5;9;15;36;22;33;31;38;25;33;253
"28 Sergipe";2;-;1;8;10;6;11;5;7;12;10;6;13;91
"29 Bahia";19;31;40;37;56;61;82;73;68;104;70;56;94;791
"31 Minas Gerais";18;56;161;167;292;384;414;369;429;474;483;376;335;3958
"32 Espírito Santo";1;6;21;23;14;34;39;51;59;92;78;57;56;531
"33 Rio de Janeiro";23;44;105;148;143;192;142;222;279;280;345;313;416;2652
"35 São Paulo";197;222;302;393;442;435;508;832;830;888;886;753;934;7622
"41 Paraná";32;35;66;160;195;219;257;252;316;388;433;294;380;3027
"42 Santa Catarina";14;51;60;72;103;114;102;90;105;87;113;72;84;1067
"43 Rio Grande do Sul";31;116;192;210;208;240;208;178;212;221;207;151;167;2341
"50 Mato Grosso do Sul";36;38;80;55;66;61;61;61;72;56;66;79;59;790
"51 Mato Grosso";8;5;15;27;15;38;41;50;44;38;46;33;28;388
"52 Goiás";14;18;24;48;68;71;59;69;60;83;112;70;100;796
"53 Distrito Federal";16;15;13;34;28;21;27;32;26;34;32;29;35;342
"Total";536;836;1348;1684;1980;2288;2400;2696;2979;3316;3455;2798;3308;29624
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
