 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Física: Sim
Pai: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";2;3;7;8;13;20;19;24;24;27;25;20;19;211
"12 Acre";4;13;9;15;8;13;15;11;29;14;12;12;26;181
"13 Amazonas";33;47;52;65;90;85;81;62;74;84;126;72;78;949
"14 Roraima";5;8;12;10;9;12;7;10;20;11;19;15;13;151
"15 Pará";8;47;45;106;105;85;155;169;127;146;189;185;180;1547
"16 Amapá";1;3;3;2;7;7;5;7;10;16;31;8;11;111
"17 Tocantins";4;12;24;18;46;60;72;85;76;72;64;45;46;624
"21 Maranhão";10;17;30;37;38;30;35;49;46;44;58;55;63;512
"22 Piauí";12;16;34;27;55;25;31;63;52;57;65;42;30;509
"23 Ceará";16;20;25;116;43;288;239;165;117;154;214;236;268;1901
"24 Rio Grande do Norte";5;8;17;18;33;28;24;38;29;32;43;32;33;340
"25 Paraíba";9;15;15;22;17;14;33;13;30;43;42;26;52;331
"26 Pernambuco";41;80;93;131;226;238;167;164;304;337;261;224;332;2598
"27 Alagoas";4;7;14;13;16;29;33;35;44;48;47;49;55;394
"28 Sergipe";-;3;6;8;16;11;18;14;12;16;16;18;16;154
"29 Bahia";44;90;84;94;135;147;144;183;168;200;194;120;147;1750
"31 Minas Gerais";38;146;347;527;759;918;1033;935;1061;1111;980;738;681;9274
"32 Espírito Santo";-;8;29;36;42;69;119;106;121;193;135;110;147;1115
"33 Rio de Janeiro";35;96;226;340;348;401;460;554;822;791;909;700;847;6529
"35 São Paulo";509;628;746;1076;1017;992;1366;2365;2939;2323;2614;1711;2123;20409
"41 Paraná";59;98;151;517;749;684;760;690;882;1084;1028;746;797;8245
"42 Santa Catarina";25;77;132;187;178;224;235;263;222;228;244;191;176;2382
"43 Rio Grande do Sul";49;214;420;457;448;484;600;416;537;445;467;341;285;5163
"50 Mato Grosso do Sul";91;111;131;194;187;200;131;154;140;125;131;111;122;1828
"51 Mato Grosso";10;10;28;31;38;60;55;43;53;52;52;42;49;523
"52 Goiás";15;73;51;238;236;188;196;140;162;221;242;221;303;2286
"53 Distrito Federal";48;48;58;83;101;72;46;66;95;98;140;99;127;1081
"Total";1077;1898;2789;4376;4960;5384;6079;6824;8196;7972;8348;6169;7026;71098
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
