 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Outra Violencia: Sim
Conjuge: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;1;-;1;-;3;5;4;3;2;1;1;21
"12 Acre";-;-;1;2;6;3;4;-;2;2;6;-;4;30
"13 Amazonas";-;1;14;-;2;3;4;1;4;13;5;5;11;63
"14 Roraima";-;-;-;1;-;-;1;-;2;2;2;-;-;8
"15 Pará";-;2;3;3;2;27;3;7;3;23;21;20;80;194
"16 Amapá";-;-;-;-;-;-;1;1;2;7;2;1;-;14
"17 Tocantins";1;3;1;-;8;12;1;4;1;6;-;4;6;47
"21 Maranhão";-;2;2;3;4;3;11;5;1;2;6;11;7;57
"22 Piauí";1;1;1;2;3;1;1;2;2;4;1;-;3;22
"23 Ceará";-;1;2;5;8;3;8;18;43;17;11;13;11;140
"24 Rio Grande do Norte";1;-;1;2;1;1;4;3;8;9;10;8;6;54
"25 Paraíba";1;1;59;6;13;6;4;1;8;1;10;8;2;120
"26 Pernambuco";3;2;2;2;16;14;22;31;55;79;109;65;53;453
"27 Alagoas";-;-;-;-;1;-;2;-;6;5;4;4;2;24
"28 Sergipe";-;-;-;-;1;2;2;-;1;1;1;2;2;12
"29 Bahia";-;1;6;3;11;11;9;8;6;27;20;12;26;140
"31 Minas Gerais";1;1;13;24;37;68;94;109;74;67;96;69;55;708
"32 Espírito Santo";1;13;15;10;16;42;8;6;19;25;13;6;19;193
"33 Rio de Janeiro";4;19;26;66;27;13;14;20;28;20;13;38;44;332
"35 São Paulo";16;35;65;62;52;75;49;78;84;123;90;83;134;946
"41 Paraná";13;29;11;14;13;19;18;18;40;51;62;37;53;378
"42 Santa Catarina";-;4;5;5;18;10;20;15;16;7;9;16;7;132
"43 Rio Grande do Sul";-;10;19;47;49;38;30;37;33;27;36;46;5;377
"50 Mato Grosso do Sul";14;12;11;10;14;21;20;13;9;12;14;12;13;175
"51 Mato Grosso";-;-;1;2;7;7;1;2;-;5;3;12;9;49
"52 Goiás";-;1;-;3;3;12;4;7;12;5;8;12;18;85
"53 Distrito Federal";1;1;2;7;4;4;1;8;11;3;10;8;14;74
"Total";57;139;261;279;317;395;339;399;474;546;564;493;585;4848
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
