 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Outra Violencia: Sim
Ex-Conjuge: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";1;-;-;-;-;-;1;-;2;3;1;-;2;10
"12 Acre";-;-;1;-;-;1;1;-;-;-;1;-;-;4
"13 Amazonas";-;-;5;-;-;-;-;-;2;-;-;-;-;7
"14 Roraima";-;-;-;-;-;1;-;-;-;-;-;-;1;2
"15 Pará";-;-;1;-;-;15;13;5;7;15;32;16;99;203
"16 Amapá";-;-;-;-;1;-;1;2;2;-;-;1;-;7
"17 Tocantins";-;-;-;-;2;5;3;-;1;2;1;3;-;17
"21 Maranhão";-;-;-;-;1;2;8;8;-;2;2;3;7;33
"22 Piauí";-;-;-;-;1;1;-;-;-;-;-;-;1;3
"23 Ceará";-;-;2;8;2;2;4;4;2;7;6;5;9;51
"24 Rio Grande do Norte";-;-;-;1;-;-;3;1;1;-;5;2;3;16
"25 Paraíba";2;-;28;8;17;4;-;2;1;2;1;3;6;74
"26 Pernambuco";-;2;4;2;6;4;23;12;17;22;24;16;18;150
"27 Alagoas";-;-;-;-;-;-;1;1;-;-;1;2;1;6
"28 Sergipe";-;-;-;-;-;1;-;-;-;-;-;1;1;3
"29 Bahia";-;2;3;3;3;20;4;4;7;14;6;12;24;102
"31 Minas Gerais";-;3;13;10;23;22;51;44;55;28;73;22;28;372
"32 Espírito Santo";-;3;11;3;23;43;4;4;5;5;10;2;5;118
"33 Rio de Janeiro";1;4;12;20;17;8;6;11;8;8;19;21;18;153
"35 São Paulo";9;5;21;24;19;45;37;36;40;48;50;43;51;428
"41 Paraná";2;5;1;4;4;4;3;10;11;20;36;23;22;145
"42 Santa Catarina";1;3;3;1;3;2;7;3;2;2;1;5;3;36
"43 Rio Grande do Sul";-;3;6;26;13;20;17;30;27;11;34;54;3;244
"50 Mato Grosso do Sul";1;4;6;-;2;10;9;2;3;6;-;2;4;49
"51 Mato Grosso";-;-;-;1;7;1;1;-;1;-;-;-;9;20
"52 Goiás";-;1;-;-;1;3;-;-;3;1;1;3;5;18
"53 Distrito Federal";1;1;-;-;2;2;2;1;-;1;4;3;3;20
"Total";18;36;117;111;147;216;199;180;197;197;308;242;323;2291
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
