 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Outra Violencia: Sim
Ex-Namorado(a): Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;-;-;-;2;2
"12 Acre";-;-;-;-;1;-;-;-;-;-;1;1;-;3
"13 Amazonas";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"14 Roraima";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"15 Pará";-;-;-;-;1;1;-;-;2;13;7;6;9;39
"16 Amapá";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"17 Tocantins";-;-;-;1;2;6;-;-;1;2;-;1;1;14
"21 Maranhão";-;-;-;-;-;1;-;-;-;-;3;1;2;7
"23 Ceará";-;-;-;-;2;2;1;4;14;8;4;2;3;40
"24 Rio Grande do Norte";-;-;1;-;-;-;-;-;1;1;1;-;1;5
"25 Paraíba";-;-;1;2;2;-;-;-;-;-;1;-;-;6
"26 Pernambuco";-;-;2;-;-;1;3;4;5;4;11;9;11;50
"27 Alagoas";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"29 Bahia";1;-;-;-;2;-;-;1;1;4;3;5;5;22
"31 Minas Gerais";1;1;2;4;11;5;13;19;11;9;25;6;7;114
"32 Espírito Santo";-;-;1;-;3;10;1;5;1;2;1;2;-;26
"33 Rio de Janeiro";-;2;3;10;4;3;3;3;5;3;-;7;6;49
"35 São Paulo";1;-;11;7;3;8;7;7;12;19;15;10;17;117
"41 Paraná";-;-;1;1;-;1;2;1;2;2;5;5;3;23
"42 Santa Catarina";-;-;2;2;2;-;-;-;2;3;2;-;1;14
"43 Rio Grande do Sul";-;1;1;5;4;5;3;5;7;4;6;9;-;50
"50 Mato Grosso do Sul";1;-;-;1;1;3;1;3;-;1;1;1;2;15
"51 Mato Grosso";-;-;-;-;1;1;-;1;-;1;-;-;-;4
"52 Goiás";-;-;-;-;2;-;-;1;1;-;-;2;2;8
"53 Distrito Federal";-;-;-;2;1;-;1;1;-;3;1;1;4;14
"Total";4;5;25;35;42;47;36;56;66;79;87;68;76;626
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
