 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Outra Violencia: Sim
Filha(a): Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;3;1;1;-;-;5
"12 Acre";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"13 Amazonas";-;-;-;-;-;-;-;-;-;1;3;3;2;9
"14 Roraima";-;3;-;-;-;-;-;-;1;-;-;-;-;4
"15 Pará";-;-;-;-;-;3;-;-;-;1;5;4;13;26
"16 Amapá";-;-;-;-;-;-;1;-;1;2;-;-;-;4
"17 Tocantins";-;2;-;-;-;2;-;3;-;2;2;1;-;12
"21 Maranhão";-;1;1;3;2;3;1;-;1;1;2;1;3;19
"22 Piauí";-;1;-;-;1;2;2;-;1;3;-;-;1;11
"23 Ceará";-;1;-;2;-;3;7;3;5;5;7;5;6;44
"24 Rio Grande do Norte";-;-;-;-;-;-;1;1;1;1;1;1;1;7
"25 Paraíba";-;-;-;-;1;-;2;-;1;-;2;2;1;9
"26 Pernambuco";-;1;2;4;3;2;5;10;10;3;7;6;4;57
"27 Alagoas";-;-;-;-;-;-;-;-;-;-;-;1;1;2
"28 Sergipe";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"29 Bahia";-;1;4;2;1;-;2;2;3;2;12;-;2;31
"31 Minas Gerais";-;-;2;9;13;18;34;43;37;29;22;42;19;268
"32 Espírito Santo";-;-;2;3;3;6;2;2;5;1;1;3;6;34
"33 Rio de Janeiro";-;3;7;12;9;12;5;7;8;11;6;4;10;94
"35 São Paulo";9;17;31;18;15;19;23;33;35;37;24;24;38;323
"41 Paraná";1;1;5;2;5;6;6;6;7;12;22;12;13;98
"42 Santa Catarina";1;1;5;4;7;3;3;1;5;2;5;2;3;42
"43 Rio Grande do Sul";-;11;12;9;11;13;10;10;11;10;18;20;1;136
"50 Mato Grosso do Sul";3;3;4;7;10;18;16;4;8;13;51;42;22;201
"51 Mato Grosso";-;-;-;1;3;1;-;1;3;-;-;1;1;11
"52 Goiás";-;-;1;-;2;66;3;-;2;3;1;2;5;85
"53 Distrito Federal";1;-;1;-;4;-;-;-;2;5;5;4;1;23
"Total";15;46;77;76;90;178;123;126;150;145;198;180;153;1557
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
