 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Outra Violencia: Sim
Irmão(a): Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;-;-;-;-;-;2;2;3;-;-;-;7
"12 Acre";-;-;-;-;-;-;2;2;-;-;-;-;-;4
"13 Amazonas";2;1;-;1;2;-;-;1;-;2;2;3;2;16
"14 Roraima";-;4;-;1;-;-;-;-;-;-;-;-;1;6
"15 Pará";-;2;-;-;-;2;1;1;-;2;2;3;14;27
"16 Amapá";-;-;-;-;-;-;1;-;1;1;-;-;-;3
"17 Tocantins";-;-;-;-;-;5;-;-;-;3;1;-;2;11
"21 Maranhão";-;-;-;1;1;2;1;-;1;-;-;1;3;10
"22 Piauí";-;3;-;1;1;-;1;1;-;1;-;1;1;10
"23 Ceará";-;-;-;-;1;1;2;5;5;6;8;8;5;41
"24 Rio Grande do Norte";-;-;-;-;1;2;1;1;-;3;-;2;1;11
"25 Paraíba";-;-;3;-;1;-;1;-;1;2;3;-;1;12
"26 Pernambuco";-;1;1;-;2;2;3;2;9;1;6;6;4;37
"27 Alagoas";-;-;-;-;-;-;1;-;1;-;1;2;1;6
"28 Sergipe";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"29 Bahia";1;2;1;1;1;-;2;-;3;1;7;-;6;25
"31 Minas Gerais";-;2;2;8;7;12;13;15;17;13;12;19;14;134
"32 Espírito Santo";-;-;1;1;4;5;-;2;2;7;3;6;4;35
"33 Rio de Janeiro";1;1;6;5;4;3;4;3;10;7;5;10;8;67
"35 São Paulo";5;9;11;10;11;6;22;32;25;12;21;25;25;214
"41 Paraná";2;-;1;5;7;5;3;4;5;4;12;11;19;78
"42 Santa Catarina";-;1;1;1;3;1;2;2;4;1;2;1;-;19
"43 Rio Grande do Sul";-;6;7;5;4;5;6;4;10;7;6;9;1;70
"50 Mato Grosso do Sul";2;8;3;2;3;5;5;5;4;4;9;4;5;59
"51 Mato Grosso";-;-;-;1;-;-;-;3;-;-;1;1;1;7
"52 Goiás";2;1;-;1;2;4;-;-;3;2;6;2;2;25
"53 Distrito Federal";-;-;3;2;-;-;1;1;3;5;2;2;4;23
"Total";15;41;40;46;56;60;72;86;106;87;109;116;124;958
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
