 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Outra Violencia: Sim
Madrasta: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;-;-;-;-;1;-;-;-;-;1;1;3
"13 Amazonas";-;-;1;-;-;-;-;-;-;1;-;-;1;3
"15 Pará";-;-;-;-;-;1;-;-;-;-;-;1;7;9
"16 Amapá";-;-;-;-;-;-;1;-;-;-;1;-;-;2
"17 Tocantins";-;-;-;-;-;2;-;-;1;-;-;-;-;3
"21 Maranhão";-;1;-;-;-;-;-;-;-;-;1;1;-;3
"22 Piauí";-;-;-;-;-;-;1;-;-;-;-;1;-;2
"23 Ceará";-;-;-;-;-;-;-;1;1;-;-;1;2;5
"24 Rio Grande do Norte";-;-;1;-;-;-;-;-;-;-;-;-;2;3
"25 Paraíba";1;-;-;-;-;-;-;-;-;-;-;1;-;2
"26 Pernambuco";-;-;1;-;-;-;-;1;4;-;2;2;5;15
"27 Alagoas";-;-;-;-;-;-;-;-;-;-;2;-;-;2
"28 Sergipe";-;-;-;-;-;-;-;1;-;-;-;-;1;2
"29 Bahia";-;-;-;-;-;-;-;-;-;1;1;-;-;2
"31 Minas Gerais";-;-;-;1;-;-;1;-;-;2;2;1;2;9
"32 Espírito Santo";-;-;-;-;-;1;1;-;1;1;1;-;2;7
"33 Rio de Janeiro";-;-;1;-;-;1;-;-;3;-;2;2;2;11
"35 São Paulo";-;2;-;1;3;1;2;6;4;4;2;3;10;38
"41 Paraná";-;-;-;-;-;-;-;1;-;-;1;1;11;14
"42 Santa Catarina";-;1;-;-;-;-;-;1;1;1;-;-;-;4
"43 Rio Grande do Sul";-;-;-;1;-;-;1;2;1;1;1;2;-;9
"50 Mato Grosso do Sul";-;1;-;-;1;1;-;-;-;-;-;-;1;4
"51 Mato Grosso";-;-;-;-;1;-;-;-;-;-;-;1;1;3
"52 Goiás";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"53 Distrito Federal";-;-;1;1;-;-;1;-;-;-;1;-;1;5
"Total";1;5;5;4;5;8;9;13;16;11;17;18;49;161
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
