 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Outra Violencia: Sim
Mãe: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;-;1;-;-;2;12;3;1;5;-;-;24
"12 Acre";-;-;1;1;-;-;-;3;-;-;-;1;1;7
"13 Amazonas";32;18;29;6;7;9;13;8;13;23;55;82;160;455
"14 Roraima";-;4;-;1;-;-;-;-;-;1;1;1;-;8
"15 Pará";-;-;-;-;-;3;5;3;8;5;14;5;22;65
"16 Amapá";2;1;-;-;-;-;1;-;2;-;13;2;-;21
"17 Tocantins";-;-;2;1;-;9;2;6;7;10;3;4;6;50
"21 Maranhão";1;-;-;6;1;8;2;23;2;5;7;8;6;69
"22 Piauí";-;1;1;1;-;-;3;3;1;4;1;3;2;20
"23 Ceará";-;1;1;3;6;47;68;127;122;92;69;49;42;627
"24 Rio Grande do Norte";-;-;1;-;2;-;2;1;2;3;-;2;2;15
"25 Paraíba";-;-;2;-;1;1;2;-;-;-;5;-;8;19
"26 Pernambuco";5;13;7;6;8;11;12;16;41;33;16;25;27;220
"27 Alagoas";-;-;-;-;-;-;-;1;1;3;1;2;2;10
"28 Sergipe";-;-;-;-;1;1;-;-;2;1;1;-;-;6
"29 Bahia";2;5;10;6;8;-;4;9;12;34;14;14;24;142
"31 Minas Gerais";3;4;4;20;12;26;26;31;45;38;32;32;38;311
"32 Espírito Santo";-;-;3;-;3;7;8;10;6;6;11;6;12;72
"33 Rio de Janeiro";6;11;47;38;79;112;97;40;110;241;149;145;38;1113
"35 São Paulo";25;90;76;145;79;67;108;148;223;138;91;86;239;1515
"41 Paraná";59;40;68;80;84;76;36;30;50;42;69;82;97;813
"42 Santa Catarina";4;7;14;23;35;14;111;235;164;77;44;20;14;762
"43 Rio Grande do Sul";2;32;40;53;42;43;25;34;49;39;16;19;3;397
"50 Mato Grosso do Sul";9;17;31;12;27;28;28;40;39;22;137;155;98;643
"51 Mato Grosso";-;1;2;1;-;3;3;1;11;-;1;1;4;28
"52 Goiás";2;3;-;4;13;18;9;7;14;8;14;13;17;122
"53 Distrito Federal";10;6;12;11;10;4;5;8;27;12;21;16;11;153
"Total";162;254;351;419;418;487;572;796;954;838;790;773;873;7687
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
