 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Outra Violencia: Sim
Namorado(a): Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;-;-;-;-;1;1;2;3;1;-;1;9
"12 Acre";-;-;-;-;3;2;1;-;-;-;-;3;1;10
"13 Amazonas";2;1;2;1;3;5;8;2;2;5;1;2;5;39
"14 Roraima";-;-;-;2;-;-;-;-;-;-;-;-;-;2
"15 Pará";-;-;-;3;-;2;2;3;13;7;5;12;23;70
"16 Amapá";-;-;-;-;-;-;1;-;-;7;10;1;1;20
"17 Tocantins";-;-;-;1;15;8;9;1;4;3;14;3;7;65
"21 Maranhão";-;-;-;-;1;1;-;-;2;-;1;3;4;12
"22 Piauí";-;2;1;-;-;2;-;-;1;2;1;-;1;10
"23 Ceará";1;2;-;-;1;1;8;31;53;36;25;14;27;199
"24 Rio Grande do Norte";1;-;-;-;1;-;-;-;7;23;14;6;10;62
"25 Paraíba";1;-;2;1;1;-;1;-;1;3;2;4;1;17
"26 Pernambuco";-;2;2;3;3;5;6;10;77;62;90;83;40;383
"27 Alagoas";-;-;-;-;1;1;-;2;1;-;1;1;2;9
"28 Sergipe";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"29 Bahia";-;-;-;1;2;1;2;2;11;13;6;5;13;56
"31 Minas Gerais";1;3;2;7;9;17;26;18;12;11;22;16;11;155
"32 Espírito Santo";-;-;-;1;1;4;-;3;-;19;5;6;16;55
"33 Rio de Janeiro";1;5;2;9;6;9;8;16;16;11;7;9;15;114
"35 São Paulo";2;12;9;22;10;9;4;18;27;36;27;22;36;234
"41 Paraná";-;-;3;3;3;5;4;3;9;7;4;6;8;55
"42 Santa Catarina";-;-;3;4;4;2;12;12;4;8;6;10;3;68
"43 Rio Grande do Sul";-;2;4;2;4;6;5;10;6;3;9;12;-;63
"50 Mato Grosso do Sul";3;4;2;1;3;11;3;3;4;1;6;16;8;65
"51 Mato Grosso";-;-;2;2;-;-;3;-;-;4;4;6;7;28
"52 Goiás";1;2;1;-;1;1;1;-;1;4;6;1;14;33
"53 Distrito Federal";-;-;3;3;4;1;3;-;3;3;2;2;1;25
"Total";13;35;38;66;76;93;108;135;256;271;269;244;255;1859
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
