 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Outra Violencia: Sim
Padrasto: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;-;-;-;-;-;2;5;-;1;-;1;9
"12 Acre";-;-;1;-;-;-;-;1;-;-;-;-;2;4
"13 Amazonas";6;1;3;-;1;1;2;1;1;-;4;2;1;23
"14 Roraima";-;-;-;1;-;-;-;-;-;1;-;1;-;3
"15 Pará";-;-;-;1;-;1;2;1;1;-;11;6;21;44
"16 Amapá";-;-;-;-;-;-;1;-;-;-;-;1;-;2
"17 Tocantins";-;-;-;-;2;5;1;1;-;2;-;1;-;12
"21 Maranhão";-;-;-;-;-;1;2;-;1;-;2;-;5;11
"22 Piauí";-;-;-;-;-;-;1;-;-;-;2;-;-;3
"23 Ceará";-;-;-;-;-;-;-;4;4;1;1;1;4;15
"24 Rio Grande do Norte";-;-;-;-;-;-;-;1;-;7;2;4;2;16
"25 Paraíba";-;-;-;-;-;-;-;-;-;1;1;-;-;2
"26 Pernambuco";1;-;-;3;4;-;1;3;-;-;6;5;3;26
"27 Alagoas";-;-;-;-;-;-;-;-;1;2;1;-;-;4
"28 Sergipe";-;-;1;-;-;-;-;1;-;1;-;-;-;3
"29 Bahia";2;-;1;-;1;3;2;3;-;2;1;1;1;17
"31 Minas Gerais";-;4;4;4;2;6;6;14;9;9;7;10;8;83
"32 Espírito Santo";-;-;-;-;-;1;-;4;-;1;1;1;1;9
"33 Rio de Janeiro";-;-;2;2;11;6;-;2;7;4;9;3;7;53
"35 São Paulo";7;11;11;8;13;9;6;17;14;24;16;21;21;178
"41 Paraná";-;3;-;4;4;3;2;2;6;10;9;7;21;71
"42 Santa Catarina";-;1;1;1;9;3;1;1;3;4;-;2;2;28
"43 Rio Grande do Sul";-;2;6;5;8;7;2;7;7;6;3;5;2;60
"50 Mato Grosso do Sul";2;2;7;2;1;2;2;1;2;1;1;5;-;28
"51 Mato Grosso";-;-;-;2;1;1;-;2;1;4;-;4;4;19
"52 Goiás";-;1;-;2;1;1;-;-;3;5;1;3;2;19
"53 Distrito Federal";-;1;1;2;-;2;1;1;3;1;2;2;-;16
"Total";18;26;38;37;58;52;32;69;68;86;81;85;108;758
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
