 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Outra Violencia: Sim
Pai: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;-;-;-;-;2;15;3;3;3;-;-;26
"12 Acre";-;-;1;-;-;-;1;2;1;-;1;1;-;7
"13 Amazonas";10;6;9;4;6;3;8;3;5;13;11;22;49;149
"14 Roraima";-;-;1;-;1;1;-;1;-;-;-;-;-;4
"15 Pará";-;2;-;-;2;2;-;2;8;3;11;5;23;58
"16 Amapá";-;-;-;-;-;-;1;-;1;-;4;2;-;8
"17 Tocantins";-;-;2;-;1;4;2;5;-;5;1;4;3;27
"21 Maranhão";-;1;-;4;1;2;2;23;3;3;1;3;1;44
"22 Piauí";-;2;2;-;1;-;-;2;7;5;1;1;2;23
"23 Ceará";-;1;1;-;-;38;60;93;84;58;39;27;29;430
"24 Rio Grande do Norte";-;-;4;-;1;1;2;-;2;3;2;5;-;20
"25 Paraíba";1;-;1;1;-;1;-;-;-;1;3;-;1;9
"26 Pernambuco";3;2;3;1;3;7;2;10;24;35;22;11;22;145
"27 Alagoas";-;1;-;-;-;-;-;-;1;2;3;3;1;11
"28 Sergipe";-;-;-;-;2;2;-;-;-;3;1;1;-;9
"29 Bahia";1;5;2;3;5;4;7;8;3;3;12;6;5;64
"31 Minas Gerais";1;3;11;13;9;19;8;18;20;35;28;36;19;220
"32 Espírito Santo";-;1;3;1;2;2;9;3;10;5;9;5;12;62
"33 Rio de Janeiro";2;5;24;19;38;48;68;25;79;196;90;121;31;746
"35 São Paulo";19;37;42;101;47;54;70;117;124;96;60;56;164;987
"41 Paraná";22;22;50;55;60;55;35;17;36;31;57;38;91;569
"42 Santa Catarina";2;4;6;19;27;5;58;91;88;19;14;16;6;355
"43 Rio Grande do Sul";-;13;24;26;29;21;22;27;39;25;11;19;2;258
"50 Mato Grosso do Sul";7;10;12;7;22;25;19;17;15;12;64;90;52;352
"51 Mato Grosso";-;-;-;1;1;3;4;1;11;-;1;5;3;30
"52 Goiás";1;1;-;2;15;16;11;5;7;6;9;11;17;101
"53 Distrito Federal";7;5;2;6;7;4;5;3;9;9;17;12;11;97
"Total";76;121;200;263;280;317;396;488;580;571;475;500;544;4811
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
