 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Psico/moral: Sim
Conjuge: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";4;5;16;22;27;47;40;49;77;68;53;70;58;536
"12 Acre";16;31;43;44;40;43;75;61;58;53;60;95;66;685
"13 Amazonas";20;145;107;177;406;242;245;182;161;160;184;140;160;2329
"14 Roraima";6;9;15;19;18;21;13;16;26;45;40;44;46;318
"15 Pará";2;21;68;194;354;322;480;609;261;343;495;1383;1250;5782
"16 Amapá";2;1;2;10;11;17;19;22;46;49;47;38;65;329
"17 Tocantins";20;37;58;64;92;169;187;148;112;88;85;97;57;1214
"21 Maranhão";12;28;50;43;136;154;146;149;182;267;272;225;219;1883
"22 Piauí";88;28;61;77;89;57;79;132;123;101;129;87;139;1190
"23 Ceará";29;48;79;197;149;177;202;233;230;705;1034;673;649;4405
"24 Rio Grande do Norte";5;26;39;34;76;60;80;113;145;164;177;126;162;1207
"25 Paraíba";50;57;151;217;248;216;189;103;175;169;239;144;206;2164
"26 Pernambuco";108;320;398;444;536;562;831;812;735;862;1185;903;1108;8804
"27 Alagoas";1;2;16;19;58;51;103;104;131;153;159;156;135;1088
"28 Sergipe";1;3;4;12;40;44;34;21;18;31;35;44;51;338
"29 Bahia";38;161;365;404;547;571;520;572;693;883;978;645;803;7180
"31 Minas Gerais";55;284;957;1339;2085;2844;3452;3121;3455;3587;3735;2612;2229;29755
"32 Espírito Santo";5;55;103;146;227;294;343;514;467;589;456;271;408;3878
"33 Rio de Janeiro";50;405;687;1021;1016;1288;1102;1342;1690;1736;1878;1784;2206;16205
"35 São Paulo";1320;1523;2059;3224;2994;2664;3139;4098;4916;4314;4833;3683;4880;43647
"41 Paraná";282;361;606;1057;1512;1616;1709;1486;1702;2189;2452;2230;2118;19320
"42 Santa Catarina";58;193;434;504;383;488;649;659;692;638;659;539;401;6297
"43 Rio Grande do Sul";14;319;760;1574;1563;1644;1612;1574;1691;1071;906;748;507;13983
"50 Mato Grosso do Sul";173;272;308;329;343;413;341;339;333;368;386;431;343;4379
"51 Mato Grosso";22;36;72;107;145;124;174;209;177;193;234;255;226;1974
"52 Goiás";44;95;81;169;233;254;272;235;274;347;449;416;596;3465
"53 Distrito Federal";28;30;35;73;76;81;50;86;137;115;157;172;158;1198
"Total";2453;4495;7574;11520;13404;14463;16086;16989;18707;19288;21317;18011;19246;183553
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
