 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Psico/moral: Sim
Ex-Conjuge: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";2;-;5;6;7;14;12;15;18;25;14;32;31;181
"12 Acre";4;7;13;23;9;18;13;20;22;17;19;17;26;208
"13 Amazonas";10;58;44;84;193;96;77;56;58;53;67;29;64;889
"14 Roraima";3;5;5;5;13;6;2;2;9;11;14;13;12;100
"15 Pará";-;6;18;86;171;312;485;707;272;397;468;1658;1475;6055
"16 Amapá";4;1;3;6;8;6;5;18;31;20;17;27;16;162
"17 Tocantins";5;10;9;16;23;67;80;60;65;45;32;44;24;480
"21 Maranhão";1;8;20;12;67;82;129;113;95;171;161;95;119;1073
"22 Piauí";17;3;8;12;25;26;18;57;46;19;38;27;62;358
"23 Ceará";11;9;16;58;72;45;37;101;76;445;389;246;272;1777
"24 Rio Grande do Norte";-;8;17;9;22;18;29;28;42;56;46;33;59;367
"25 Paraíba";14;18;48;94;121;106;97;57;67;92;117;38;116;985
"26 Pernambuco";23;189;163;193;324;449;712;668;575;573;618;548;1003;6038
"27 Alagoas";-;-;4;5;5;13;24;27;29;29;41;43;48;268
"28 Sergipe";1;-;4;5;17;15;8;8;6;11;11;10;24;120
"29 Bahia";16;63;155;278;414;386;334;373;398;510;652;393;496;4468
"31 Minas Gerais";17;68;361;394;624;730;862;842;1034;977;1166;690;661;8426
"32 Espírito Santo";-;28;57;52;209;150;160;220;223;195;197;174;246;1911
"33 Rio de Janeiro";28;167;329;433;550;643;574;737;907;1002;1008;915;1200;8493
"35 São Paulo";504;650;775;1718;1590;1203;1847;2033;2515;2093;2292;1884;2781;21885
"41 Paraná";50;68;137;264;454;565;555;476;579;831;1061;1050;1050;7140
"42 Santa Catarina";15;83;177;171;94;161;234;270;157;147;199;153;107;1968
"43 Rio Grande do Sul";2;62;191;553;584;714;805;783;1108;1015;772;651;643;7883
"50 Mato Grosso do Sul";45;128;75;108;97;130;123;156;130;155;151;148;126;1572
"51 Mato Grosso";2;8;30;33;120;48;84;75;57;56;66;77;127;783
"52 Goiás";10;28;19;40;79;62;97;70;72;121;124;195;286;1203
"53 Distrito Federal";8;5;12;28;28;20;12;35;41;39;44;88;94;454
"Total";792;1680;2695;4686;5920;6085;7415;8007;8632;9105;9784;9278;11168;85247
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
