 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Psico/moral: Sim
Ex-Namorado(a): Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;1;3;1;2;3;1;2;9;3;1;7;33
"12 Acre";3;4;5;4;6;7;11;12;5;8;6;8;6;85
"13 Amazonas";4;3;12;31;35;20;3;9;18;15;18;6;23;197
"14 Roraima";-;-;1;-;1;2;1;-;2;7;5;1;2;22
"15 Pará";-;4;9;23;39;45;57;124;63;60;76;259;195;954
"16 Amapá";-;-;1;1;1;1;1;2;2;3;4;7;5;28
"17 Tocantins";1;-;9;7;17;25;25;21;27;14;5;12;5;168
"21 Maranhão";-;3;2;6;22;28;31;26;15;28;29;14;20;224
"22 Piauí";1;3;2;3;14;8;4;23;11;12;15;6;7;109
"23 Ceará";-;-;8;14;12;15;22;31;27;171;227;154;153;834
"24 Rio Grande do Norte";-;1;4;4;3;4;3;6;14;7;16;10;12;84
"25 Paraíba";2;13;8;19;26;19;21;10;18;11;22;6;26;201
"26 Pernambuco";4;29;40;42;67;64;106;105;81;87;208;180;228;1241
"27 Alagoas";-;-;2;1;1;2;25;8;15;5;7;9;10;85
"28 Sergipe";-;-;4;2;5;2;1;-;2;1;1;4;2;24
"29 Bahia";5;20;10;27;50;51;46;68;63;70;94;88;91;683
"31 Minas Gerais";6;40;122;147;210;295;375;337;396;366;467;265;273;3299
"32 Espírito Santo";-;7;9;4;19;27;62;78;57;85;56;26;49;479
"33 Rio de Janeiro";6;43;76;117;115;137;131;179;242;254;300;278;427;2305
"35 São Paulo";153;144;217;413;390;310;460;485;654;662;585;576;781;5830
"41 Paraná";4;13;34;53;79;100;114;126;119;160;218;160;232;1412
"42 Santa Catarina";3;34;59;45;31;30;63;56;51;46;35;32;22;507
"43 Rio Grande do Sul";-;12;37;110;150;184;307;255;233;201;177;126;150;1942
"50 Mato Grosso do Sul";7;17;20;22;17;20;19;28;25;31;26;15;21;268
"51 Mato Grosso";-;2;2;7;20;6;13;17;13;10;11;19;16;136
"52 Goiás";1;6;6;10;25;20;21;17;21;14;44;55;67;307
"53 Distrito Federal";3;3;7;9;12;10;5;12;8;15;12;15;28;139
"Total";203;401;707;1124;1368;1434;1930;2036;2184;2352;2667;2332;2858;21596
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
