 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Psico/moral: Sim
Filha(a): Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;1;1;-;1;2;1;6;5;5;5;4;8;39
"12 Acre";2;3;7;3;6;3;2;2;3;7;8;5;1;52
"13 Amazonas";1;4;7;14;29;26;30;21;19;22;32;23;39;267
"14 Roraima";2;-;-;-;2;5;-;1;-;2;6;2;1;21
"15 Pará";-;2;7;18;27;19;40;42;26;33;64;137;121;536
"16 Amapá";-;-;-;-;1;-;1;5;3;4;3;2;1;20
"17 Tocantins";1;6;4;6;10;25;23;21;18;11;10;9;6;150
"21 Maranhão";1;5;8;11;41;21;27;10;22;33;37;35;31;282
"22 Piauí";12;2;8;13;26;7;11;15;13;21;23;16;20;187
"23 Ceará";7;10;6;26;23;30;40;48;51;125;179;96;91;732
"24 Rio Grande do Norte";1;2;12;8;14;9;7;21;9;20;25;10;20;158
"25 Paraíba";7;9;4;23;18;30;23;26;20;18;34;8;31;251
"26 Pernambuco";8;26;36;38;64;63;136;142;116;108;124;111;152;1124
"27 Alagoas";-;-;3;3;7;8;42;20;24;13;24;14;13;171
"28 Sergipe";-;-;2;7;18;6;13;3;8;15;9;7;4;92
"29 Bahia";9;23;32;43;53;51;45;62;60;86;123;61;79;727
"31 Minas Gerais";9;43;154;219;390;543;720;742;761;772;755;515;420;6043
"32 Espírito Santo";-;9;17;23;34;45;44;51;71;75;62;57;88;576
"33 Rio de Janeiro";9;45;87;114;147;192;150;194;240;241;273;221;255;2168
"35 São Paulo";211;222;287;387;404;328;571;1104;1195;872;989;888;1097;8555
"41 Paraná";25;35;76;184;299;351;362;275;311;484;557;506;477;3942
"42 Santa Catarina";14;41;70;85;88;96;142;124;136;124;110;94;80;1204
"43 Rio Grande do Sul";3;62;182;278;349;330;357;367;409;301;246;187;131;3202
"50 Mato Grosso do Sul";49;65;84;76;89;92;73;63;57;57;46;64;47;862
"51 Mato Grosso";3;3;9;14;14;15;12;30;20;22;17;23;18;200
"52 Goiás";8;10;19;31;42;32;57;43;46;62;96;69;93;608
"53 Distrito Federal";11;6;14;29;40;29;20;14;30;32;32;22;35;314
"Total";393;634;1136;1653;2236;2358;2949;3452;3673;3565;3889;3186;3359;32483
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
