 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Psico/moral: Sim
Irmão(a): Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";1;1;3;1;6;5;3;7;4;6;5;8;8;58
"12 Acre";2;6;4;7;6;2;13;6;8;4;5;5;6;74
"13 Amazonas";9;11;13;27;67;31;33;25;19;23;31;23;20;332
"14 Roraima";1;-;1;1;4;3;8;2;7;7;8;5;1;48
"15 Pará";3;6;12;35;38;29;63;83;31;61;85;274;217;937
"16 Amapá";-;-;-;-;-;-;3;2;5;7;2;8;5;32
"17 Tocantins";3;4;5;7;8;24;14;17;19;17;12;17;9;156
"21 Maranhão";2;4;2;3;24;29;25;20;18;31;30;33;39;260
"22 Piauí";5;3;9;8;14;14;7;10;20;11;12;14;16;143
"23 Ceará";5;2;7;10;13;19;34;32;25;113;165;97;86;608
"24 Rio Grande do Norte";1;2;5;6;12;5;6;12;16;27;16;13;23;144
"25 Paraíba";9;10;9;18;19;32;22;11;22;14;24;10;15;215
"26 Pernambuco";11;44;58;60;77;66;118;107;105;107;143;109;118;1123
"27 Alagoas";-;1;3;4;5;14;7;15;14;31;13;13;15;135
"28 Sergipe";-;-;4;5;7;4;6;2;7;7;3;5;2;52
"29 Bahia";5;18;24;34;57;74;50;60;62;90;83;79;80;716
"31 Minas Gerais";16;43;120;182;308;386;527;473;585;599;555;385;286;4465
"32 Espírito Santo";1;3;12;15;22;18;32;34;38;46;42;28;50;341
"33 Rio de Janeiro";4;25;66;105;103;159;156;163;212;238;241;269;312;2053
"35 São Paulo";128;127;167;293;324;299;441;1131;1095;780;779;542;719;6825
"41 Paraná";8;30;61;93;141;174;188;151;166;230;297;247;248;2034
"42 Santa Catarina";5;31;63;69;38;50;68;81;60;68;78;37;28;676
"43 Rio Grande do Sul";24;52;141;160;151;199;195;179;220;136;80;84;49;1670
"50 Mato Grosso do Sul";40;42;45;50;46;35;34;43;30;33;39;28;37;502
"51 Mato Grosso";5;3;10;6;7;11;15;26;24;14;22;24;14;181
"52 Goiás";4;19;22;28;29;32;30;38;23;40;58;43;59;425
"53 Distrito Federal";26;14;16;28;20;9;6;9;15;18;23;27;28;239
"Total";318;501;882;1255;1546;1723;2104;2739;2850;2758;2851;2427;2490;24444
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
