 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Psico/moral: Sim
Madrasta: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;-;-;1;3;-;-;-;-;-;1;-;5
"12 Acre";-;2;-;2;-;-;1;1;-;2;-;2;-;10
"13 Amazonas";3;1;7;4;15;8;3;3;8;3;4;-;3;62
"14 Roraima";-;-;-;1;-;-;-;-;2;-;2;-;-;5
"15 Pará";-;2;-;4;12;12;18;20;12;12;17;29;22;160
"16 Amapá";-;1;-;-;-;1;1;-;-;-;3;-;1;7
"17 Tocantins";-;-;-;-;2;4;2;1;2;4;3;2;2;22
"21 Maranhão";-;-;1;2;2;-;1;4;2;-;2;3;6;23
"22 Piauí";-;2;-;4;-;1;2;-;1;1;3;-;1;15
"23 Ceará";-;-;2;1;-;1;5;6;2;1;5;4;5;32
"24 Rio Grande do Norte";-;1;-;1;-;-;1;3;3;-;-;2;2;13
"25 Paraíba";-;2;-;1;1;-;2;-;-;2;1;-;1;10
"26 Pernambuco";2;3;7;1;1;4;5;6;9;9;5;5;14;71
"27 Alagoas";-;-;1;-;-;-;12;1;5;-;1;1;1;22
"28 Sergipe";-;-;-;-;1;1;1;-;1;1;-;-;-;5
"29 Bahia";1;7;6;3;11;11;8;11;12;6;9;7;3;95
"31 Minas Gerais";-;-;7;16;29;29;35;41;34;31;47;32;26;327
"32 Espírito Santo";3;1;-;2;4;5;10;1;6;13;8;3;6;62
"33 Rio de Janeiro";-;1;12;17;20;24;15;27;31;20;23;24;40;254
"35 São Paulo";24;15;13;38;39;24;65;117;126;70;87;57;100;775
"41 Paraná";-;5;6;13;36;42;40;26;35;58;51;36;69;417
"42 Santa Catarina";2;4;17;12;6;12;4;9;11;15;3;5;6;106
"43 Rio Grande do Sul";5;24;21;28;23;35;30;28;23;10;10;17;10;264
"50 Mato Grosso do Sul";9;6;8;2;9;4;5;3;3;4;6;5;2;66
"51 Mato Grosso";2;1;-;-;3;1;-;7;3;2;1;2;3;25
"52 Goiás";1;-;2;6;11;5;8;5;5;12;11;9;17;92
"53 Distrito Federal";4;5;5;9;5;5;7;5;4;3;10;6;9;77
"Total";56;83;115;167;231;232;281;325;340;279;312;252;349;3022
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
