 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Psico/moral: Sim
Mãe: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";1;-;1;6;1;1;9;12;6;5;7;7;9;65
"12 Acre";2;12;7;6;6;10;8;6;9;6;3;2;18;95
"13 Amazonas";11;9;16;16;57;62;50;27;36;39;36;22;42;423
"14 Roraima";2;3;-;-;2;-;3;1;5;3;10;11;7;47
"15 Pará";-;2;11;50;39;54;128;82;47;77;150;139;154;933
"16 Amapá";1;-;-;1;1;-;4;1;20;22;19;4;2;75
"17 Tocantins";1;5;5;5;6;25;34;19;13;8;10;11;8;150
"21 Maranhão";3;9;21;15;18;16;10;12;17;18;30;21;28;218
"22 Piauí";13;9;17;26;57;12;21;46;26;9;21;10;18;285
"23 Ceará";10;9;16;37;22;66;80;130;107;100;109;158;85;929
"24 Rio Grande do Norte";-;2;24;13;24;15;11;32;25;26;22;8;12;214
"25 Paraíba";5;8;15;16;8;6;8;10;14;16;29;7;28;170
"26 Pernambuco";32;71;77;87;79;82;83;84;97;96;106;95;176;1165
"27 Alagoas";-;1;5;4;5;5;31;14;27;17;15;15;22;161
"28 Sergipe";-;-;3;6;10;7;9;2;5;5;2;3;2;54
"29 Bahia";25;76;68;93;98;94;91;95;53;119;68;42;105;1027
"31 Minas Gerais";13;54;106;229;327;463;636;624;634;677;550;430;360;5103
"32 Espírito Santo";5;4;20;11;17;30;37;34;28;94;71;38;50;439
"33 Rio de Janeiro";23;70;167;180;198;341;219;211;327;338;373;294;406;3147
"35 São Paulo";244;333;304;409;361;325;684;2073;2197;1257;1751;915;1203;12056
"41 Paraná";34;58;128;522;749;637;513;358;583;742;809;623;910;6666
"42 Santa Catarina";19;48;93;120;114;126;161;141;132;87;73;83;91;1288
"43 Rio Grande do Sul";32;221;412;411;359;430;336;334;343;170;127;126;105;3406
"50 Mato Grosso do Sul";58;78;100;122;116;91;98;71;26;44;41;32;40;917
"51 Mato Grosso";2;3;18;25;19;34;26;37;15;12;20;27;22;260
"52 Goiás";7;35;53;89;105;78;89;49;67;78;129;138;172;1089
"53 Distrito Federal";47;40;47;54;60;44;26;56;72;54;60;69;71;700
"Total";590;1160;1734;2553;2858;3054;3405;4561;4931;4119;4641;3330;4146;41082
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
