 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Psico/moral: Sim
Namorado(a): Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";1;2;1;-;3;4;5;7;5;4;7;4;11;54
"12 Acre";3;9;33;21;11;13;15;27;16;20;18;19;26;231
"13 Amazonas";17;40;17;70;96;44;54;25;33;18;50;62;56;582
"14 Roraima";1;-;2;2;3;-;5;2;5;2;9;1;8;40
"15 Pará";4;20;29;37;48;66;98;58;45;51;125;168;181;930
"16 Amapá";1;-;1;-;1;3;6;4;6;6;10;2;8;48
"17 Tocantins";4;4;7;14;24;45;29;19;17;15;10;17;12;217
"21 Maranhão";2;1;5;4;15;10;13;14;20;42;43;30;26;225
"22 Piauí";4;4;12;7;16;18;7;19;33;18;18;22;23;201
"23 Ceará";2;4;9;15;15;22;32;38;54;93;120;98;106;608
"24 Rio Grande do Norte";1;3;2;7;13;2;14;12;19;21;29;14;24;161
"25 Paraíba";6;8;9;11;15;10;17;10;19;26;35;26;35;227
"26 Pernambuco";12;31;26;40;40;62;59;58;63;80;130;85;116;802
"27 Alagoas";-;-;-;1;3;4;30;12;16;12;9;11;14;112
"28 Sergipe";2;-;14;3;13;12;8;-;1;6;1;6;10;76
"29 Bahia";7;39;16;24;57;51;52;59;95;108;121;94;107;830
"31 Minas Gerais";18;50;125;201;300;442;502;469;587;665;631;509;447;4946
"32 Espírito Santo";-;1;5;16;16;21;31;49;50;143;72;47;73;524
"33 Rio de Janeiro";5;49;73;132;127;174;139;169;283;345;348;425;546;2815
"35 São Paulo";94;108;201;274;292;268;327;514;651;653;733;613;786;5514
"41 Paraná";11;17;49;81;114;115;155;151;165;237;269;234;217;1815
"42 Santa Catarina";6;27;37;37;49;64;75;81;93;81;91;70;53;764
"43 Rio Grande do Sul";3;36;88;146;177;187;260;206;210;125;108;85;57;1688
"50 Mato Grosso do Sul";23;16;25;30;25;37;24;37;28;33;23;40;48;389
"51 Mato Grosso";5;2;9;10;15;15;26;29;25;22;27;41;20;246
"52 Goiás";4;8;14;29;30;30;34;30;41;46;67;52;115;500
"53 Distrito Federal";7;5;8;9;13;8;4;9;13;26;20;28;34;184
"Total";243;484;817;1221;1531;1727;2021;2108;2593;2898;3124;2803;3159;24729
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
