 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Psico/moral: Sim
Padrasto: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";1;5;5;6;3;12;8;16;17;8;7;5;9;102
"12 Acre";13;14;15;28;11;10;14;6;7;11;7;7;7;150
"13 Amazonas";68;65;76;126;170;105;62;46;66;68;53;32;45;982
"14 Roraima";6;3;6;3;-;9;8;13;7;9;18;15;16;113
"15 Pará";28;89;110;120;83;136;198;146;86;154;236;248;266;1900
"16 Amapá";3;3;-;1;5;2;3;3;7;10;9;3;8;57
"17 Tocantins";4;6;6;5;17;42;38;24;15;15;23;12;12;219
"21 Maranhão";3;4;8;19;16;10;15;16;25;40;32;33;45;266
"22 Piauí";2;3;9;17;18;13;13;15;33;12;36;14;23;208
"23 Ceará";7;2;5;14;6;18;15;35;17;39;67;51;73;349
"24 Rio Grande do Norte";-;3;5;2;8;16;7;9;24;31;19;19;29;172
"25 Paraíba";1;11;13;10;10;7;5;3;5;17;14;11;14;121
"26 Pernambuco";16;40;46;38;40;38;56;56;75;80;134;85;128;832
"27 Alagoas";1;-;-;1;2;8;29;11;31;15;32;19;18;167
"28 Sergipe";4;1;15;10;26;11;16;4;6;4;4;1;6;108
"29 Bahia";11;25;26;28;53;37;70;64;52;95;56;47;74;638
"31 Minas Gerais";20;40;99;116;185;212;263;236;286;309;350;228;216;2560
"32 Espírito Santo";-;4;20;17;17;20;18;28;25;55;42;13;29;288
"33 Rio de Janeiro";18;29;60;96;102;139;94;123;164;188;195;202;304;1714
"35 São Paulo";160;181;177;227;235;212;280;569;560;510;574;424;628;4737
"41 Paraná";21;23;62;140;212;218;222;174;218;302;334;270;404;2600
"42 Santa Catarina";17;42;54;70;87;72;89;78;84;76;71;64;64;868
"43 Rio Grande do Sul";47;129;216;219;230;264;232;208;207;82;61;63;54;2012
"50 Mato Grosso do Sul";28;26;49;44;51;30;36;27;27;20;23;38;24;423
"51 Mato Grosso";9;6;15;32;23;38;28;56;33;37;37;42;29;385
"52 Goiás";11;15;25;39;54;39;62;49;37;69;86;46;106;638
"53 Distrito Federal";19;23;24;41;32;23;28;30;22;36;25;44;42;389
"Total";518;792;1146;1469;1696;1741;1909;2045;2136;2292;2545;2036;2673;22998
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
