 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Psico/moral: Sim
Pai: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";3;4;4;3;9;9;17;10;11;10;15;10;13;118
"12 Acre";3;15;14;14;13;4;8;6;10;4;9;4;16;120
"13 Amazonas";44;55;50;92;135;95;72;45;55;58;90;38;60;889
"14 Roraima";1;4;10;3;5;7;6;4;10;11;20;13;5;99
"15 Pará";12;72;60;84;74;95;163;153;78;128;209;246;233;1607
"16 Amapá";2;2;1;1;5;2;3;5;14;8;19;6;7;75
"17 Tocantins";-;5;10;4;19;39;41;28;30;32;22;25;13;268
"21 Maranhão";10;19;23;17;18;10;20;25;26;29;52;24;36;309
"22 Piauí";7;10;10;23;40;15;16;35;29;15;16;22;19;257
"23 Ceará";10;9;17;21;25;47;62;122;80;106;110;156;113;878
"24 Rio Grande do Norte";1;7;21;10;12;12;15;19;28;23;26;15;22;211
"25 Paraíba";4;13;15;19;14;15;15;19;25;33;39;10;38;259
"26 Pernambuco";33;70;57;88;126;91;134;122;292;358;366;245;592;2574
"27 Alagoas";-;2;4;5;9;18;11;18;26;25;18;17;26;179
"28 Sergipe";3;-;6;11;12;9;15;7;4;4;3;3;2;79
"29 Bahia";40;90;94;142;155;131;149;150;94;155;147;73;116;1536
"31 Minas Gerais";22;77;173;276;366;495;599;503;611;609;563;446;418;5158
"32 Espírito Santo";8;5;17;28;18;38;59;39;43;109;75;41;71;551
"33 Rio de Janeiro";16;67;129;165;174;276;230;270;393;394;423;397;505;3439
"35 São Paulo";351;347;378;473;467;420;755;1990;2398;1530;2087;1276;1754;14226
"41 Paraná";49;81;130;425;621;566;548;389;558;815;856;598;894;6530
"42 Santa Catarina";30;59;139;145;129;160;180;170;164;144;146;119;103;1688
"43 Rio Grande do Sul";67;241;420;428;422;451;355;376;355;210;167;171;157;3820
"50 Mato Grosso do Sul";68;75;74;106;89;93;62;52;46;41;50;27;37;820
"51 Mato Grosso";4;6;23;23;24;45;38;34;24;31;29;42;43;366
"52 Goiás";10;36;43;93;114;74;79;65;104;94;146;151;180;1189
"53 Distrito Federal";43;60;55;106;89;59;34;67;95;64;133;108;119;1032
"Total";841;1431;1977;2805;3184;3276;3686;4723;5603;5040;5836;4283;5592;48277
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
