 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Sexual: Sim
Conjuge: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";1;2;1;2;2;8;8;10;26;9;9;8;14;100
"12 Acre";5;5;8;45;119;169;203;222;251;210;108;86;101;1532
"13 Amazonas";5;10;10;13;22;57;36;33;33;45;54;105;100;523
"14 Roraima";-;1;10;6;7;5;5;2;3;3;6;4;6;58
"15 Pará";-;6;14;5;11;35;20;35;59;108;130;110;108;641
"16 Amapá";-;-;22;-;2;-;4;7;6;16;15;12;20;104
"17 Tocantins";2;1;2;6;25;37;24;29;26;24;34;20;21;251
"21 Maranhão";2;1;17;7;9;9;9;22;33;42;49;47;61;308
"22 Piauí";4;-;4;9;8;10;7;13;6;12;13;10;26;122
"23 Ceará";2;3;7;32;19;157;31;38;67;130;157;160;200;1003
"24 Rio Grande do Norte";1;4;5;-;1;2;3;5;6;6;19;9;14;75
"25 Paraíba";7;5;28;60;37;38;31;6;28;25;27;26;44;362
"26 Pernambuco";18;22;68;52;109;190;110;147;166;348;301;191;249;1971
"27 Alagoas";-;-;2;1;2;1;1;6;12;24;13;17;18;97
"28 Sergipe";-;-;2;1;5;5;5;1;-;4;3;6;2;34
"29 Bahia";1;27;49;81;79;82;80;118;112;135;121;78;135;1098
"31 Minas Gerais";8;21;51;58;93;128;125;135;139;133;181;132;126;1330
"32 Espírito Santo";1;7;10;5;22;24;43;51;50;73;50;35;84;455
"33 Rio de Janeiro";6;22;48;71;74;59;40;64;81;114;170;127;151;1027
"35 São Paulo";63;67;118;108;113;127;164;235;324;306;334;291;349;2599
"41 Paraná";31;60;55;80;85;115;141;127;177;170;191;178;170;1580
"42 Santa Catarina";2;10;18;20;25;38;45;41;58;35;55;66;46;459
"43 Rio Grande do Sul";1;20;44;82;73;74;68;74;104;111;105;80;89;925
"50 Mato Grosso do Sul";14;5;14;20;36;46;16;43;27;27;39;22;34;343
"51 Mato Grosso";-;3;13;3;8;11;9;15;12;28;34;35;23;194
"52 Goiás";7;13;5;8;17;11;18;21;26;25;33;36;47;267
"53 Distrito Federal";3;9;4;21;13;17;13;16;36;23;30;33;35;253
"Total";184;324;629;796;1016;1455;1259;1516;1868;2186;2281;1924;2273;17711
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
