 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Sexual: Sim
Ex-Conjuge: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";2;-;-;1;-;2;2;4;6;6;3;-;6;32
"12 Acre";2;1;1;7;6;16;5;8;9;8;6;10;13;92
"13 Amazonas";6;7;10;9;8;8;3;10;9;9;7;4;20;110
"14 Roraima";-;-;2;-;1;2;1;-;4;4;3;1;5;23
"15 Pará";-;1;5;5;7;6;13;14;11;23;30;46;42;203
"16 Amapá";2;1;-;2;-;-;1;1;2;3;3;1;3;19
"17 Tocantins";-;2;-;-;2;5;7;7;4;4;4;5;6;46
"21 Maranhão";1;4;6;-;6;1;1;5;6;6;12;10;16;74
"22 Piauí";1;1;1;2;4;4;4;11;10;6;7;7;20;78
"23 Ceará";1;1;-;5;2;10;5;12;9;29;28;26;29;157
"24 Rio Grande do Norte";-;1;1;3;-;2;2;2;4;5;4;2;7;33
"25 Paraíba";1;2;8;18;33;17;24;3;12;19;21;10;29;197
"26 Pernambuco";4;16;25;26;39;41;81;96;110;119;142;106;198;1003
"27 Alagoas";-;2;-;-;2;-;1;4;8;3;1;13;6;40
"28 Sergipe";2;-;3;2;6;6;1;2;3;1;2;8;5;41
"29 Bahia";5;15;28;35;49;58;37;99;100;138;112;92;127;895
"31 Minas Gerais";10;18;20;30;47;67;77;62;75;70;101;65;66;708
"32 Espírito Santo";-;3;3;4;5;15;17;25;27;11;18;23;30;181
"33 Rio de Janeiro";5;11;23;40;39;34;37;52;57;86;115;83;105;687
"35 São Paulo";23;32;54;75;49;68;85;128;214;162;179;159;197;1425
"41 Paraná";10;18;15;19;40;35;38;33;54;42;67;68;71;510
"42 Santa Catarina";3;4;6;12;8;13;19;12;22;21;33;21;36;210
"43 Rio Grande do Sul";-;7;12;24;25;22;24;40;43;62;47;47;61;414
"50 Mato Grosso do Sul";3;9;4;6;7;14;9;10;4;8;8;7;6;95
"51 Mato Grosso";1;-;5;3;5;8;4;12;3;8;11;14;21;95
"52 Goiás";1;6;-;7;5;9;6;7;11;12;17;19;29;129
"53 Distrito Federal";3;1;3;9;15;6;3;9;15;12;24;33;30;163
"Total";86;163;235;344;410;469;507;668;832;877;1005;880;1184;7660
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
