 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Sexual: Sim
Ex-Namorado(a): Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";2;-;1;1;-;2;6;6;3;5;2;-;4;32
"12 Acre";3;-;6;14;20;24;25;31;23;26;18;16;16;222
"13 Amazonas";4;7;12;14;13;15;13;19;28;20;24;18;29;216
"14 Roraima";-;-;3;2;2;5;1;3;2;4;7;4;4;37
"15 Pará";-;4;6;12;13;14;7;17;18;47;29;36;34;237
"16 Amapá";-;-;8;4;4;-;2;1;1;5;2;1;5;33
"17 Tocantins";-;-;2;3;15;16;10;9;11;11;4;10;11;102
"21 Maranhão";-;2;5;5;4;1;7;6;9;13;13;30;32;127
"22 Piauí";-;-;-;6;10;5;4;10;6;10;10;8;10;79
"23 Ceará";-;1;3;2;5;25;12;27;26;27;47;42;53;270
"24 Rio Grande do Norte";-;-;1;1;3;1;1;2;7;1;9;5;2;33
"25 Paraíba";-;1;1;6;13;4;15;2;9;7;15;6;14;93
"26 Pernambuco";3;5;17;10;21;25;18;43;39;68;51;50;84;434
"27 Alagoas";-;-;-;1;3;2;1;3;10;8;10;10;14;62
"28 Sergipe";2;-;5;5;3;4;2;-;1;1;2;1;2;28
"29 Bahia";4;2;3;5;12;15;10;32;20;24;32;24;31;214
"31 Minas Gerais";5;10;24;24;26;58;56;57;64;50;70;77;50;571
"32 Espírito Santo";-;-;1;4;10;6;14;12;14;16;24;26;28;155
"33 Rio de Janeiro";5;15;14;16;25;22;20;49;32;48;51;60;81;438
"35 São Paulo";30;23;31;51;26;45;55;60;85;105;125;92;108;836
"41 Paraná";3;4;9;24;21;23;15;27;31;28;49;41;49;324
"42 Santa Catarina";5;14;11;10;11;16;15;18;18;17;25;30;24;214
"43 Rio Grande do Sul";-;2;3;9;17;12;15;22;22;26;39;29;40;236
"50 Mato Grosso do Sul";-;2;1;5;6;9;5;13;4;11;8;3;6;73
"51 Mato Grosso";-;-;3;5;4;4;2;2;3;2;11;24;15;75
"52 Goiás";2;4;3;5;8;8;16;7;3;20;12;14;18;120
"53 Distrito Federal";6;5;3;8;15;11;8;12;23;18;18;21;20;168
"Total";74;101;176;252;310;372;355;490;512;618;707;678;784;5429
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
