 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Sexual: Sim
Filha(a): Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;-;-;-;2;-;-;-;-;-;1;-;3
"12 Acre";-;-;1;-;1;1;-;-;1;-;1;1;-;6
"13 Amazonas";-;1;4;2;1;1;-;1;1;-;-;-;1;12
"14 Roraima";-;-;-;1;-;-;-;-;-;-;-;-;1;2
"15 Pará";-;1;4;2;2;4;3;-;1;-;3;1;2;23
"16 Amapá";-;-;-;-;-;1;1;-;-;1;1;-;-;4
"17 Tocantins";-;1;1;-;1;-;-;-;-;-;1;1;-;5
"21 Maranhão";-;1;-;1;1;-;1;-;-;1;-;-;-;5
"22 Piauí";2;-;-;-;1;-;-;-;-;1;2;2;-;8
"23 Ceará";1;-;-;-;3;3;3;2;-;1;3;1;5;22
"24 Rio Grande do Norte";-;-;-;7;-;-;-;-;-;1;1;1;2;12
"25 Paraíba";1;-;-;4;-;-;1;-;-;-;-;1;3;10
"26 Pernambuco";-;1;4;2;4;1;3;8;7;8;5;5;6;54
"27 Alagoas";-;-;-;-;-;-;1;-;2;-;-;3;2;8
"28 Sergipe";-;-;1;1;1;1;-;-;-;-;1;-;-;5
"29 Bahia";-;1;2;1;2;3;-;6;2;3;2;4;2;28
"31 Minas Gerais";-;1;5;10;13;13;13;13;14;10;15;7;7;121
"32 Espírito Santo";-;-;-;-;-;1;1;-;-;1;1;-;6;10
"33 Rio de Janeiro";-;-;2;4;2;9;2;6;9;4;5;3;9;55
"35 São Paulo";9;7;6;3;8;3;18;74;75;18;31;19;26;297
"41 Paraná";3;4;4;4;6;11;12;3;6;7;3;4;9;76
"42 Santa Catarina";-;2;-;2;2;3;2;1;3;-;-;2;2;19
"43 Rio Grande do Sul";-;3;1;8;7;3;5;5;10;2;5;8;4;61
"50 Mato Grosso do Sul";-;1;1;6;2;-;-;1;-;-;-;1;1;13
"51 Mato Grosso";-;-;-;3;1;-;-;-;-;-;-;1;3;8
"52 Goiás";1;-;1;1;3;1;1;2;2;3;4;4;5;28
"53 Distrito Federal";3;4;3;5;5;2;4;1;2;1;1;1;2;34
"Total";20;28;40;67;66;63;71;123;135;62;85;71;98;929
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
