 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Sexual: Sim
Irmão(a): Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;1;1;2;5;4;2;3;6;4;8;10;46
"12 Acre";3;1;3;3;2;1;5;6;-;4;7;3;6;44
"13 Amazonas";9;9;26;23;41;27;15;20;16;18;19;16;21;260
"14 Roraima";-;-;1;4;3;2;5;5;3;3;14;5;1;46
"15 Pará";5;10;16;24;18;18;22;35;20;24;32;50;40;314
"16 Amapá";-;1;-;-;3;1;3;3;2;2;4;1;5;25
"17 Tocantins";-;2;3;1;5;2;8;11;12;29;19;20;18;130
"21 Maranhão";2;1;2;4;6;5;6;2;8;6;14;7;11;74
"22 Piauí";-;2;-;2;14;9;9;13;12;9;7;11;23;111
"23 Ceará";1;-;1;2;5;4;11;8;13;23;20;14;12;114
"24 Rio Grande do Norte";3;-;2;1;3;4;2;1;2;10;9;2;13;52
"25 Paraíba";4;3;2;3;6;6;3;2;5;5;6;1;11;57
"26 Pernambuco";9;11;14;21;23;24;14;19;19;32;40;27;33;286
"27 Alagoas";-;-;1;2;-;7;1;3;5;8;7;19;21;74
"28 Sergipe";-;-;5;6;8;10;3;1;4;6;6;4;8;61
"29 Bahia";3;8;16;14;16;27;22;24;15;32;18;17;27;239
"31 Minas Gerais";17;15;36;51;76;65;78;66;115;132;146;108;113;1018
"32 Espírito Santo";2;-;1;9;9;19;21;12;19;20;27;29;41;209
"33 Rio de Janeiro";4;14;17;26;36;36;43;37;63;57;77;56;72;538
"35 São Paulo";82;71;77;80;122;121;120;252;301;268;256;229;282;2261
"41 Paraná";13;16;30;59;51;77;71;87;94;120;174;94;78;964
"42 Santa Catarina";6;13;16;25;25;24;30;26;35;29;55;43;32;359
"43 Rio Grande do Sul";27;35;56;53;61;84;75;68;82;87;109;69;109;915
"50 Mato Grosso do Sul";12;9;20;12;10;10;5;11;19;19;23;15;7;172
"51 Mato Grosso";2;2;9;3;4;11;12;20;16;10;16;15;10;130
"52 Goiás";3;12;10;12;20;18;19;32;16;23;43;32;46;286
"53 Distrito Federal";12;24;25;34;44;24;20;20;36;76;61;56;29;461
"Total";219;259;390;475;613;641;627;786;935;1058;1213;951;1079;9246
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
