 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Sexual: Sim
Madrasta: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"12 Acre";-;-;-;-;-;2;-;-;2;-;-;-;-;4
"13 Amazonas";1;4;3;4;4;3;3;2;5;3;3;-;3;38
"14 Roraima";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"15 Pará";-;2;-;1;3;3;4;8;4;5;4;9;9;52
"16 Amapá";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"17 Tocantins";-;1;-;1;-;-;-;-;-;2;2;1;1;8
"21 Maranhão";-;-;-;2;-;-;-;-;-;-;1;-;1;4
"22 Piauí";-;-;1;-;-;-;1;-;1;1;1;1;4;10
"23 Ceará";-;-;-;-;-;2;2;4;3;1;1;1;3;17
"24 Rio Grande do Norte";1;-;-;-;-;-;-;1;-;-;-;1;1;4
"25 Paraíba";-;-;-;-;-;-;1;-;-;-;-;1;1;3
"26 Pernambuco";1;1;5;1;-;2;3;4;2;1;-;4;5;29
"27 Alagoas";-;-;1;-;-;-;1;-;1;-;3;2;3;11
"28 Sergipe";-;-;-;1;-;-;1;-;1;-;-;-;-;3
"29 Bahia";-;-;3;-;1;-;2;4;1;6;3;2;-;22
"31 Minas Gerais";-;-;2;2;7;5;7;6;7;10;6;11;14;77
"32 Espírito Santo";-;-;1;2;-;-;3;-;2;1;1;-;5;15
"33 Rio de Janeiro";-;2;1;7;8;4;5;4;2;5;6;14;14;72
"35 São Paulo";8;4;2;7;3;4;5;21;27;20;24;15;26;166
"41 Paraná";-;1;2;-;5;7;7;1;8;10;9;9;10;69
"42 Santa Catarina";-;1;5;2;4;7;1;2;1;2;1;7;3;36
"43 Rio Grande do Sul";1;3;6;5;3;3;6;5;9;8;13;9;12;83
"50 Mato Grosso do Sul";2;-;-;2;3;-;2;2;1;-;-;1;2;15
"51 Mato Grosso";-;-;1;-;2;1;-;1;-;3;2;-;3;13
"52 Goiás";-;-;-;-;3;4;1;2;3;4;1;4;7;29
"53 Distrito Federal";1;2;2;-;2;4;1;1;2;2;4;3;3;27
"Total";15;21;35;37;48;53;57;68;82;84;86;95;130;811
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
