 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Sexual: Sim
Mãe: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;1;2;-;1;2;2;2;1;3;4;-;18
"12 Acre";-;-;2;1;-;-;-;-;1;1;-;-;6;11
"13 Amazonas";3;9;9;5;11;11;11;7;11;9;14;7;10;117
"14 Roraima";2;2;-;1;2;3;-;1;2;1;2;4;1;21
"15 Pará";-;3;5;30;28;20;42;22;16;33;51;58;37;345
"16 Amapá";-;1;-;-;-;-;1;-;2;4;5;-;2;15
"17 Tocantins";2;1;-;1;1;3;5;8;7;3;16;4;5;56
"21 Maranhão";-;5;5;2;2;1;6;3;2;8;4;3;9;50
"22 Piauí";-;6;3;1;6;1;5;5;6;6;1;1;6;47
"23 Ceará";1;1;-;10;11;229;46;52;68;70;81;36;46;651
"24 Rio Grande do Norte";-;2;1;1;1;2;1;2;4;9;4;8;3;38
"25 Paraíba";-;-;4;2;-;-;2;1;2;1;1;-;-;13
"26 Pernambuco";4;15;19;17;22;16;11;15;24;16;34;29;55;277
"27 Alagoas";-;-;-;-;-;1;1;-;3;1;5;5;5;21
"28 Sergipe";-;-;-;1;1;1;1;2;-;2;2;1;1;12
"29 Bahia";2;17;14;10;15;14;5;19;11;17;16;9;15;164
"31 Minas Gerais";2;8;18;18;22;23;42;42;78;45;50;47;56;451
"32 Espírito Santo";-;-;6;12;9;8;8;3;6;17;7;5;15;96
"33 Rio de Janeiro";5;12;25;39;46;43;39;48;80;88;74;93;95;687
"35 São Paulo";61;59;59;87;133;70;104;290;334;188;264;141;164;1954
"41 Paraná";7;5;21;59;124;110;96;56;101;149;130;104;137;1099
"42 Santa Catarina";1;8;20;28;19;55;65;56;37;27;19;21;32;388
"43 Rio Grande do Sul";7;30;64;44;60;75;53;43;57;56;57;56;47;649
"50 Mato Grosso do Sul";9;11;16;22;36;20;17;13;15;8;10;12;13;202
"51 Mato Grosso";-;3;2;4;6;9;7;13;4;3;7;6;5;69
"52 Goiás";1;7;9;25;30;33;21;11;26;26;38;29;33;289
"53 Distrito Federal";12;10;17;21;22;21;11;26;17;11;20;15;15;218
"Total";119;215;320;443;607;770;602;740;916;800;915;698;813;7958
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
