 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Sexual: Sim
Namorado(a): Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";5;17;12;10;7;17;25;20;24;22;11;18;26;214
"12 Acre";8;8;130;145;168;187;196;258;302;224;129;112;137;2004
"13 Amazonas";33;63;63;105;165;147;148;112;259;237;241;216;224;2013
"14 Roraima";-;-;16;27;25;21;21;36;28;15;26;17;27;259
"15 Pará";17;57;73;110;154;175;119;122;149;185;245;274;307;1987
"16 Amapá";2;2;53;10;8;10;11;18;12;30;32;18;45;251
"17 Tocantins";1;2;9;20;105;145;116;82;102;99;105;72;51;909
"21 Maranhão";4;11;27;20;30;19;24;21;41;52;48;204;175;676
"22 Piauí";-;2;10;28;40;47;38;58;60;55;70;58;106;572
"23 Ceará";1;1;2;5;11;55;27;72;127;113;170;268;321;1173
"24 Rio Grande do Norte";-;2;-;5;2;1;5;6;9;7;23;19;32;111
"25 Paraíba";2;1;3;26;84;62;44;8;57;60;81;62;57;547
"26 Pernambuco";26;32;67;93;107;230;187;218;160;253;218;268;343;2202
"27 Alagoas";-;1;4;2;-;3;6;8;25;17;31;67;53;217
"28 Sergipe";10;4;52;34;38;18;15;5;16;18;12;13;25;260
"29 Bahia";9;14;7;6;27;33;32;31;58;88;90;71;124;590
"31 Minas Gerais";16;30;51;74;93;104;89;100;165;152;164;157;176;1371
"32 Espírito Santo";1;-;4;15;18;15;31;29;44;89;94;112;114;566
"33 Rio de Janeiro";4;17;23;31;41;44;37;76;112;108;140;167;162;962
"35 São Paulo";55;71;84;107;113;90;89;116;129;170;190;193;239;1646
"41 Paraná";10;19;49;60;95;97;127;160;136;169;172;179;194;1467
"42 Santa Catarina";4;21;32;25;50;91;81;89;93;74;120;85;87;852
"43 Rio Grande do Sul";6;16;18;33;48;56;50;63;64;80;112;82;83;711
"50 Mato Grosso do Sul";5;10;8;24;27;33;23;19;27;26;44;58;37;341
"51 Mato Grosso";1;4;27;10;21;15;32;23;28;41;57;65;67;391
"52 Goiás";1;5;8;17;18;18;75;96;60;59;61;59;86;563
"53 Distrito Federal";9;8;16;39;70;49;52;56;102;97;81;68;76;723
"Total";230;418;848;1081;1565;1782;1700;1902;2389;2540;2767;2982;3374;23578
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
