 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Sexual: Sim
Padrasto: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";2;4;5;7;8;14;18;25;22;19;18;10;12;164
"12 Acre";14;14;15;37;16;17;28;16;10;13;12;15;35;242
"13 Amazonas";79;85;118;150;168;206;128;153;181;206;178;109;191;1952
"14 Roraima";8;10;11;10;8;12;17;17;11;12;26;32;34;208
"15 Pará";40;127;151;226;185;180;231;232;163;207;295;268;387;2692
"16 Amapá";2;7;2;4;8;11;5;7;13;7;9;8;16;99
"17 Tocantins";2;3;6;13;19;52;52;51;70;94;78;92;63;595
"21 Maranhão";15;18;10;31;21;14;26;22;37;53;54;40;56;397
"22 Piauí";1;5;6;20;57;51;58;59;97;68;91;42;100;655
"23 Ceará";7;3;7;6;11;10;15;34;21;37;64;53;135;403
"24 Rio Grande do Norte";-;2;3;4;6;18;4;9;16;28;28;27;43;188
"25 Paraíba";2;7;11;6;11;8;4;4;11;20;14;14;16;128
"26 Pernambuco";28;42;42;53;58;53;79;63;87;96;98;105;128;932
"27 Alagoas";1;1;7;5;6;9;9;13;26;33;75;88;137;410
"28 Sergipe";7;4;29;48;48;39;24;13;15;22;30;26;29;334
"29 Bahia";13;37;37;30;79;79;66;73;58;103;65;54;87;781
"31 Minas Gerais";32;57;117;119;183;203;228;252;283;349;387;301;343;2854
"32 Espírito Santo";-;2;19;29;29;37;48;64;67;93;93;68;112;661
"33 Rio de Janeiro";19;47;62;97;107;134;98;136;188;280;305;313;386;2172
"35 São Paulo";277;300;315;387;349;339;373;579;629;768;844;731;985;6876
"41 Paraná";44;47;67;148;189;220;215;249;304;406;431;334;345;2999
"42 Santa Catarina";23;30;50;87;108;115;102;94;114;137;178;172;199;1409
"43 Rio Grande do Sul";89;154;212;228;265;254;233;224;303;333;368;296;424;3383
"50 Mato Grosso do Sul";28;20;37;48;54;39;39;36;45;36;55;45;53;535
"51 Mato Grosso";12;4;23;28;31;51;56;64;46;52;55;67;68;557
"52 Goiás";9;26;23;41;72;59;74;82;79;113;128;97;203;1006
"53 Distrito Federal";27;40;31;56;67;56;42;83;90;159;98;104;95;948
"Total";781;1096;1416;1918;2163;2280;2272;2654;2986;3744;4077;3511;4682;33580
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
