 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Sexual: Sim
Pai: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";4;4;1;3;5;12;16;8;18;22;13;13;13;132
"12 Acre";4;10;9;14;19;7;17;16;10;14;12;19;21;172
"13 Amazonas";53;61;58;93;139;109;100;94;104;135;128;63;123;1260
"14 Roraima";3;4;6;12;9;11;9;7;10;13;21;16;15;136
"15 Pará";15;104;91;118;123;115;128;123;92;133;168;170;212;1592
"16 Amapá";1;4;4;5;6;1;2;7;8;9;17;5;12;81
"17 Tocantins";-;6;10;7;20;43;35;44;59;76;55;48;54;457
"21 Maranhão";7;13;22;17;14;14;12;15;14;33;38;21;32;252
"22 Piauí";1;7;4;8;57;34;45;63;52;33;40;44;59;447
"23 Ceará";3;8;6;14;20;237;64;64;53;61;116;65;125;836
"24 Rio Grande do Norte";2;3;6;9;8;5;4;13;18;32;25;22;18;165
"25 Paraíba";2;6;11;10;7;7;9;5;11;19;20;4;11;122
"26 Pernambuco";25;42;45;69;80;73;59;54;93;108;114;113;143;1018
"27 Alagoas";-;1;7;3;5;11;7;11;16;17;50;67;106;301
"28 Sergipe";9;5;29;24;29;19;28;15;13;34;23;30;35;293
"29 Bahia";5;28;45;26;62;106;74;79;64;65;79;46;61;740
"31 Minas Gerais";30;75;114;160;198;240;252;243;348;405;397;374;440;3276
"32 Espírito Santo";-;2;13;43;35;39;55;63;65;68;93;76;122;674
"33 Rio de Janeiro";12;52;76;116;136;155;119;194;239;337;338;346;394;2514
"35 São Paulo";323;336;389;493;489;417;459;756;1045;982;1042;877;1178;8786
"41 Paraná";31;53;80;173;230;258;258;300;346;480;573;383;442;3607
"42 Santa Catarina";15;48;74;120;103;134;144;142;153;163;166;228;186;1676
"43 Rio Grande do Sul";75;152;213;227;244;221;189;205;237;371;402;332;362;3230
"50 Mato Grosso do Sul";22;34;37;53;54;45;37;25;35;48;46;34;44;514
"51 Mato Grosso";1;7;15;16;23;33;36;42;28;40;61;53;43;398
"52 Goiás";6;39;19;48;73;77;75;83;114;88;124;106;190;1042
"53 Distrito Federal";19;26;46;87;91;62;41;79;104;125;133;128;113;1054
"Total";668;1130;1430;1968;2279;2485;2274;2750;3349;3911;4294;3683;4554;34775
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
