 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Tortura: Sim
Conjuge: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;3;3;5;9;10;8;25;9;10;11;9;102
"12 Acre";3;5;4;6;13;15;32;20;28;17;17;13;19;192
"13 Amazonas";7;5;18;24;27;9;12;10;16;22;17;20;18;205
"14 Roraima";-;1;5;5;5;5;2;1;8;8;6;6;6;58
"15 Pará";-;7;10;10;32;24;22;18;22;27;36;36;50;294
"16 Amapá";-;-;-;1;2;4;3;1;4;4;4;5;11;39
"17 Tocantins";4;13;13;13;15;27;27;19;23;20;22;15;15;226
"21 Maranhão";1;5;9;11;16;13;19;27;50;57;38;56;50;352
"22 Piauí";5;3;15;27;22;25;19;38;32;29;49;33;30;327
"23 Ceará";10;5;12;16;22;19;21;24;38;63;66;47;75;418
"24 Rio Grande do Norte";1;5;14;10;14;15;15;22;29;31;29;15;25;225
"25 Paraíba";4;6;6;43;51;35;18;9;26;15;29;20;32;294
"26 Pernambuco";14;14;40;43;26;38;69;74;83;84;149;126;89;849
"27 Alagoas";-;-;-;1;7;8;12;12;18;18;25;29;19;149
"28 Sergipe";-;-;-;-;6;5;2;-;2;2;4;7;4;32
"29 Bahia";9;11;23;26;48;65;62;70;97;112;140;91;102;856
"31 Minas Gerais";-;34;110;168;223;284;376;324;362;391;341;284;273;3170
"32 Espírito Santo";2;7;17;11;14;17;24;44;63;37;63;22;38;359
"33 Rio de Janeiro";4;18;60;85;111;82;80;84;108;95;141;132;154;1154
"35 São Paulo";58;95;137;210;201;249;271;432;489;480;479;417;507;4025
"41 Paraná";15;30;82;102;123;129;131;143;165;175;193;192;188;1668
"42 Santa Catarina";8;25;77;80;41;64;140;59;99;74;91;58;45;861
"43 Rio Grande do Sul";2;25;89;204;152;131;92;119;119;52;43;50;4;1082
"50 Mato Grosso do Sul";25;30;46;42;49;43;37;39;35;26;37;50;41;500
"51 Mato Grosso";4;8;12;18;22;20;37;27;21;30;44;54;31;328
"52 Goiás";16;23;17;38;61;44;44;48;47;69;69;73;104;653
"53 Distrito Federal";7;6;5;6;8;8;5;5;8;13;15;14;18;118
"Total";199;381;824;1203;1316;1387;1582;1677;2017;1960;2157;1876;1957;18536
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
