 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Tortura: Sim
Ex-Namorado(a): Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;-;2;-;1;1;-;-;1;2;1;1;9
"12 Acre";-;-;1;-;2;1;1;1;3;1;1;-;2;13
"13 Amazonas";1;-;2;2;1;2;-;1;2;4;1;1;2;19
"14 Roraima";-;-;-;-;-;1;-;-;-;2;2;-;-;5
"15 Pará";-;2;1;4;1;3;3;7;2;3;4;4;5;39
"16 Amapá";-;-;-;-;1;-;1;-;-;-;-;1;-;3
"17 Tocantins";-;-;-;3;3;2;7;-;2;3;-;1;1;22
"21 Maranhão";-;-;-;1;3;1;2;5;2;6;3;3;4;30
"22 Piauí";-;3;1;2;5;2;1;3;1;4;7;4;-;33
"23 Ceará";-;-;2;-;2;3;3;4;4;6;5;8;10;47
"24 Rio Grande do Norte";-;-;3;2;1;-;-;2;4;1;3;-;-;16
"25 Paraíba";-;-;-;5;4;3;3;1;3;2;4;1;4;30
"26 Pernambuco";-;4;6;6;5;5;6;8;6;5;12;9;15;87
"27 Alagoas";-;-;-;1;-;1;2;-;4;-;2;4;1;15
"28 Sergipe";-;-;1;1;1;1;1;-;-;-;-;-;-;5
"29 Bahia";2;-;-;-;3;5;7;9;12;11;10;11;11;81
"31 Minas Gerais";1;4;10;13;30;36;43;43;48;36;33;30;44;371
"32 Espírito Santo";-;1;1;1;1;-;3;4;4;6;3;5;3;32
"33 Rio de Janeiro";-;3;3;6;14;7;8;14;11;20;20;16;21;143
"35 São Paulo";11;8;15;24;19;34;33;48;55;56;54;58;79;494
"41 Paraná";-;1;4;8;7;9;9;8;9;13;13;15;17;113
"42 Santa Catarina";1;6;13;5;4;1;19;9;6;7;9;6;7;93
"43 Rio Grande do Sul";-;2;-;8;19;18;10;8;11;7;5;2;4;94
"50 Mato Grosso do Sul";1;2;2;5;3;3;2;5;2;5;2;2;2;36
"51 Mato Grosso";-;-;-;2;4;1;4;1;1;2;2;5;2;24
"52 Goiás";-;2;1;1;6;3;5;5;2;3;12;16;10;66
"53 Distrito Federal";-;-;1;1;1;3;-;1;1;2;1;1;3;15
"Total";17;38;67;103;140;146;174;187;195;206;210;204;248;1935
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
