 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Tortura: Sim
Ex-Conjuge: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";1;-;2;-;-;1;4;2;5;1;1;2;6;25
"12 Acre";1;2;2;8;5;4;5;5;3;6;3;3;6;53
"13 Amazonas";1;7;5;12;9;1;3;3;4;8;6;4;10;73
"14 Roraima";-;2;2;3;3;3;-;2;2;2;2;1;4;26
"15 Pará";-;-;5;5;14;21;13;9;13;14;22;18;48;182
"16 Amapá";-;-;1;3;2;1;2;2;-;2;2;2;2;19
"17 Tocantins";1;3;1;2;3;12;9;3;5;5;8;5;7;64
"21 Maranhão";-;1;8;1;2;3;5;12;15;13;23;8;23;114
"22 Piauí";-;1;1;5;7;5;5;14;11;3;19;13;12;96
"23 Ceará";5;2;1;6;9;4;4;36;12;35;21;20;27;182
"24 Rio Grande do Norte";-;3;3;-;5;3;3;2;8;4;7;7;12;57
"25 Paraíba";2;1;-;23;17;13;9;7;7;9;5;9;17;119
"26 Pernambuco";1;7;7;16;19;19;29;42;55;40;75;52;64;426
"27 Alagoas";-;-;-;2;2;2;-;5;5;2;11;6;6;41
"28 Sergipe";-;-;1;-;2;2;1;1;-;1;-;1;7;16
"29 Bahia";2;3;11;8;31;16;24;35;44;61;54;40;34;363
"31 Minas Gerais";2;7;22;44;56;58;92;78;109;88;93;67;79;795
"32 Espírito Santo";-;3;4;4;7;5;6;14;17;7;12;17;23;119
"33 Rio de Janeiro";-;8;23;42;51;37;34;46;44;44;58;42;81;510
"35 São Paulo";14;19;46;66;70;72;115;166;197;185;188;142;214;1494
"41 Paraná";2;8;13;29;34;35;33;42;44;42;60;73;43;458
"42 Santa Catarina";4;5;18;30;7;7;76;15;23;15;20;19;7;246
"43 Rio Grande do Sul";-;9;24;64;41;41;37;40;48;18;22;31;4;379
"50 Mato Grosso do Sul";6;11;9;16;10;15;9;13;9;15;17;19;13;162
"51 Mato Grosso";1;2;9;8;12;5;8;4;8;7;10;16;17;107
"52 Goiás";4;7;8;11;24;9;16;9;15;29;24;47;44;247
"53 Distrito Federal";3;2;4;2;2;1;1;5;1;7;3;10;13;54
"Total";50;113;230;410;444;395;543;612;704;663;766;674;823;6427
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
