 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Tortura: Sim
Filha(a): Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;-;-;1;2;-;1;-;1;-;1;3;9
"12 Acre";-;1;-;-;-;1;-;1;1;1;1;2;-;8
"13 Amazonas";-;1;2;1;1;-;-;1;1;3;2;2;2;16
"14 Roraima";-;-;-;-;-;-;-;2;-;-;1;1;-;4
"15 Pará";-;-;-;1;1;1;3;-;-;2;3;5;4;20
"16 Amapá";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"17 Tocantins";-;5;1;1;-;4;9;2;2;2;1;-;1;28
"21 Maranhão";-;-;1;2;3;1;1;2;4;6;5;5;5;35
"22 Piauí";-;1;2;6;7;1;-;7;2;5;2;4;3;40
"23 Ceará";4;2;-;3;3;3;2;4;6;6;7;11;4;55
"24 Rio Grande do Norte";-;2;-;1;3;2;2;2;3;2;3;-;4;24
"25 Paraíba";1;-;-;5;3;-;1;3;5;-;4;2;5;29
"26 Pernambuco";-;3;2;4;2;3;4;11;19;16;12;6;10;92
"27 Alagoas";-;-;-;1;-;1;4;-;6;1;2;1;2;18
"28 Sergipe";-;-;-;1;1;1;1;1;-;-;-;1;-;6
"29 Bahia";2;1;3;4;2;5;7;9;9;10;6;10;7;75
"31 Minas Gerais";-;5;14;29;28;42;61;59;60;52;48;41;39;478
"32 Espírito Santo";-;1;-;-;2;2;4;3;9;4;3;5;4;37
"33 Rio de Janeiro";4;3;6;13;14;6;4;3;13;13;21;13;16;129
"35 São Paulo";8;12;8;20;25;18;63;87;91;52;61;73;59;577
"41 Paraná";-;5;11;16;22;27;29;17;24;20;21;29;13;234
"42 Santa Catarina";2;-;8;10;10;9;33;8;8;12;9;10;3;122
"43 Rio Grande do Sul";-;4;13;36;28;34;20;16;28;13;6;10;2;210
"50 Mato Grosso do Sul";2;4;8;6;11;3;4;1;4;-;2;3;5;53
"51 Mato Grosso";-;-;1;1;1;1;3;4;-;-;2;2;-;15
"52 Goiás";1;2;-;10;5;5;7;5;10;7;14;7;13;86
"53 Distrito Federal";3;1;4;5;5;3;1;1;-;2;5;1;3;34
"Total";27;53;84;176;178;175;264;250;305;230;241;245;207;2435
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
