 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Tortura: Sim
Irmão(a): Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;-;-;-;4;-;1;-;-;-;-;-;5
"12 Acre";-;2;1;1;1;2;2;1;2;2;-;-;-;14
"13 Amazonas";-;-;2;5;4;1;-;-;-;3;6;-;5;26
"14 Roraima";-;-;-;-;3;-;1;-;-;1;-;-;-;5
"15 Pará";1;-;-;-;-;2;5;3;3;2;5;9;6;36
"16 Amapá";-;-;-;-;-;-;1;-;-;-;-;-;1;2
"17 Tocantins";1;4;2;-;1;4;6;7;4;4;1;6;1;41
"21 Maranhão";-;-;-;2;3;1;1;4;5;3;7;5;3;34
"22 Piauí";-;1;1;1;2;2;3;3;7;4;3;2;5;34
"23 Ceará";-;-;1;3;4;-;4;2;4;11;3;6;8;46
"24 Rio Grande do Norte";-;-;-;1;1;1;2;-;1;5;5;2;2;20
"25 Paraíba";1;1;1;-;1;3;4;1;3;3;1;2;-;21
"26 Pernambuco";-;3;3;2;4;7;8;8;9;11;8;2;10;75
"27 Alagoas";-;-;-;1;1;-;1;1;2;3;2;2;2;15
"28 Sergipe";-;-;-;-;2;1;-;-;-;1;-;1;-;5
"29 Bahia";1;1;1;3;7;6;2;5;7;13;10;11;11;78
"31 Minas Gerais";-;4;11;13;21;30;51;48;47;45;50;43;22;385
"32 Espírito Santo";-;-;1;5;1;3;3;6;6;6;3;2;6;42
"33 Rio de Janeiro";1;3;3;17;2;9;11;7;12;10;12;13;16;116
"35 São Paulo";12;2;11;20;16;28;29;91;68;48;64;39;52;480
"41 Paraná";-;2;5;13;12;9;9;16;15;23;21;18;15;158
"42 Santa Catarina";-;5;7;13;3;5;14;10;5;3;15;1;3;84
"43 Rio Grande do Sul";3;1;10;11;8;16;13;6;10;6;3;3;-;90
"50 Mato Grosso do Sul";8;7;3;3;5;6;3;4;6;6;3;1;9;64
"51 Mato Grosso";1;-;2;1;1;2;3;1;1;4;5;-;-;21
"52 Goiás";1;3;3;9;7;2;3;3;2;4;4;5;4;50
"53 Distrito Federal";2;2;2;3;3;-;-;2;1;-;1;1;5;22
"Total";32;41;70;127;113;144;179;230;220;221;232;174;186;1969
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
