 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Tortura: Sim
Madrasta: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;-;-;-;2;-;-;1;-;1;1;-;5
"12 Acre";-;-;-;1;-;-;-;1;-;1;-;1;-;4
"13 Amazonas";-;-;-;1;2;-;-;-;1;1;2;-;-;7
"14 Roraima";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"15 Pará";-;1;-;-;1;2;-;2;2;2;1;3;1;15
"16 Amapá";-;-;-;-;-;-;1;-;-;-;2;-;-;3
"17 Tocantins";-;-;-;1;-;-;1;-;1;1;-;-;-;4
"21 Maranhão";-;-;-;1;3;-;1;2;-;-;-;1;-;8
"22 Piauí";-;-;-;-;-;-;1;-;-;-;1;-;1;3
"23 Ceará";-;-;1;1;-;-;1;-;-;-;2;1;3;9
"24 Rio Grande do Norte";-;-;-;1;-;-;-;2;-;-;-;1;1;5
"25 Paraíba";-;-;-;-;-;-;1;-;-;1;-;1;-;3
"26 Pernambuco";1;1;1;-;-;3;-;2;3;2;1;-;3;17
"27 Alagoas";-;-;-;-;-;-;2;1;1;-;2;-;1;7
"28 Sergipe";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"29 Bahia";-;1;1;2;1;3;-;3;2;2;2;1;-;18
"31 Minas Gerais";-;-;-;3;2;6;10;4;3;4;4;3;3;42
"32 Espírito Santo";-;1;-;-;-;-;1;-;-;-;1;-;2;5
"33 Rio de Janeiro";-;1;3;5;4;3;2;1;5;4;2;3;6;39
"35 São Paulo";5;4;2;3;4;3;7;14;21;13;12;3;8;99
"41 Paraná";-;-;-;-;6;4;4;4;3;2;2;3;6;34
"42 Santa Catarina";1;-;2;2;-;4;1;2;3;3;2;-;-;20
"43 Rio Grande do Sul";1;1;1;3;2;8;2;4;2;2;-;1;-;27
"50 Mato Grosso do Sul";1;2;1;-;1;-;1;1;-;1;-;1;1;10
"51 Mato Grosso";-;-;-;1;-;1;-;1;2;-;1;-;2;8
"52 Goiás";-;-;1;2;4;1;3;3;1;3;2;1;2;23
"53 Distrito Federal";-;-;1;1;1;-;-;-;1;1;1;-;3;9
"Total";9;12;14;28;31;40;39;47;53;44;41;25;43;426
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
