 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Tortura: Sim
Mãe: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;-;-;-;1;1;1;1;1;1;4;3;13
"12 Acre";1;1;1;1;-;1;1;5;2;2;1;-;2;18
"13 Amazonas";1;2;3;4;6;4;3;3;7;8;9;3;2;55
"14 Roraima";-;1;-;-;-;-;1;-;1;1;2;1;3;10
"15 Pará";-;-;-;4;7;6;9;11;6;7;17;13;16;96
"16 Amapá";1;-;-;-;1;-;4;-;1;3;1;-;1;12
"17 Tocantins";-;4;2;-;1;4;2;1;1;2;1;1;2;21
"21 Maranhão";-;2;4;2;4;4;2;5;6;4;5;10;7;55
"22 Piauí";-;1;5;4;8;2;5;5;-;2;5;-;6;43
"23 Ceará";5;2;5;5;7;5;7;12;7;12;11;10;11;99
"24 Rio Grande do Norte";-;2;1;2;2;3;1;-;3;2;3;1;2;22
"25 Paraíba";-;2;3;-;-;1;1;2;3;1;4;3;2;22
"26 Pernambuco";4;16;6;8;8;10;8;17;20;8;15;13;29;162
"27 Alagoas";-;-;-;-;-;1;3;3;7;4;6;5;-;29
"28 Sergipe";-;-;2;-;-;-;3;1;2;2;-;-;1;11
"29 Bahia";3;5;4;5;12;9;5;11;14;14;10;11;13;116
"31 Minas Gerais";3;6;16;22;34;59;56;69;65;50;58;51;43;532
"32 Espírito Santo";-;-;4;2;2;4;4;4;5;14;8;4;10;61
"33 Rio de Janeiro";6;13;17;21;27;24;18;11;36;18;37;32;37;297
"35 São Paulo";16;29;22;36;23;34;86;196;170;91;88;68;106;965
"41 Paraná";-;2;8;16;24;13;19;18;39;62;35;36;49;321
"42 Santa Catarina";-;7;4;8;17;28;16;15;22;6;9;7;8;147
"43 Rio Grande do Sul";-;9;32;29;32;29;24;35;37;22;18;6;4;277
"50 Mato Grosso do Sul";7;9;7;19;15;3;9;6;4;5;5;7;6;102
"51 Mato Grosso";1;1;3;4;4;8;6;4;3;4;3;1;4;46
"52 Goiás";-;6;6;12;20;3;12;12;13;10;18;32;35;179
"53 Distrito Federal";3;1;4;4;2;4;1;7;3;2;4;2;8;45
"Total";51;121;159;208;256;260;307;454;478;357;374;321;410;3756
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
