 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Tortura: Sim
Namorado(a): Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;-;-;-;-;-;1;2;1;-;-;2;6
"12 Acre";-;2;1;1;-;3;3;6;6;2;5;-;-;29
"13 Amazonas";1;2;2;6;4;6;4;1;1;3;5;14;3;52
"14 Roraima";-;-;-;1;-;-;-;-;1;-;1;1;1;5
"15 Pará";1;1;1;5;2;4;2;8;4;3;8;11;13;63
"16 Amapá";-;-;-;-;-;2;1;1;-;1;1;-;1;7
"17 Tocantins";-;1;1;2;4;4;6;1;2;4;2;-;3;30
"21 Maranhão";-;1;-;1;7;1;1;6;5;6;4;6;4;42
"22 Piauí";-;1;3;1;3;4;1;3;10;5;8;5;5;49
"23 Ceará";1;-;2;-;1;2;5;6;4;11;9;8;16;65
"24 Rio Grande do Norte";1;-;1;-;6;-;4;2;3;2;5;2;3;29
"25 Paraíba";-;-;1;2;2;3;5;1;2;4;3;2;3;28
"26 Pernambuco";1;3;1;7;4;4;2;5;6;9;16;7;9;74
"27 Alagoas";-;-;2;1;-;2;4;2;5;1;3;2;5;27
"28 Sergipe";-;-;-;-;-;-;-;-;-;3;-;1;4;8
"29 Bahia";-;2;4;1;13;6;8;9;18;18;19;20;12;130
"31 Minas Gerais";2;5;11;25;40;50;58;64;76;87;84;70;60;632
"32 Espírito Santo";-;-;1;4;1;2;1;5;6;6;9;6;3;44
"33 Rio de Janeiro";-;10;8;16;23;12;10;9;28;21;31;35;42;245
"35 São Paulo";7;9;19;23;32;22;32;70;80;103;93;66;91;647
"41 Paraná";1;1;11;8;9;7;13;12;20;26;19;20;28;175
"42 Santa Catarina";-;2;10;6;6;10;15;9;13;11;16;12;10;120
"43 Rio Grande do Sul";-;4;14;26;10;22;11;12;15;8;8;8;-;138
"50 Mato Grosso do Sul";1;3;2;4;4;4;4;4;7;1;1;3;8;46
"51 Mato Grosso";2;1;3;2;2;5;4;3;3;5;7;3;1;41
"52 Goiás";1;2;2;10;7;4;6;7;9;16;17;12;18;111
"53 Distrito Federal";2;-;-;2;-;1;2;-;2;1;2;4;5;21
"Total";21;50;100;154;180;180;202;247;328;358;376;318;350;2864
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
