 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Tortura: Sim
Padrasto: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;1;-;-;3;-;1;6;2;-;2;-;15
"12 Acre";-;4;2;3;3;3;4;4;5;3;2;-;2;35
"13 Amazonas";2;-;7;8;10;8;4;9;5;3;3;2;4;65
"14 Roraima";4;-;-;-;1;3;4;2;2;-;7;5;4;32
"15 Pará";12;15;6;8;8;18;10;15;10;11;18;20;27;178
"16 Amapá";-;1;-;1;2;1;1;-;1;3;-;-;2;12
"17 Tocantins";-;4;-;2;1;5;1;1;4;1;-;2;4;25
"21 Maranhão";-;1;1;4;4;3;2;5;3;7;7;13;6;56
"22 Piauí";-;1;3;6;5;-;5;5;19;1;7;5;7;64
"23 Ceará";2;-;2;1;-;2;2;4;4;8;6;5;5;41
"24 Rio Grande do Norte";-;-;1;-;-;5;1;2;2;4;5;4;4;28
"25 Paraíba";1;2;4;1;3;2;1;-;1;1;1;5;4;26
"26 Pernambuco";-;6;5;6;7;4;10;8;14;9;10;5;15;99
"27 Alagoas";-;-;-;1;-;1;3;3;8;2;10;1;1;30
"28 Sergipe";-;-;1;2;4;-;1;-;2;1;-;-;-;11
"29 Bahia";3;6;4;3;3;6;11;10;5;13;9;10;10;93
"31 Minas Gerais";1;5;13;3;23;31;39;34;36;42;45;16;29;317
"32 Espírito Santo";-;1;3;3;2;3;-;5;6;9;8;-;6;46
"33 Rio de Janeiro";3;4;8;15;13;10;9;2;12;12;17;18;17;140
"35 São Paulo";17;20;18;23;17;25;33;81;75;67;49;34;65;524
"41 Paraná";1;1;4;11;15;9;16;11;18;31;19;26;28;190
"42 Santa Catarina";2;8;6;5;12;13;19;7;13;7;13;9;6;120
"43 Rio Grande do Sul";4;8;17;23;24;22;23;23;15;12;5;7;1;184
"50 Mato Grosso do Sul";2;-;6;8;8;3;6;7;2;2;2;9;4;59
"51 Mato Grosso";1;2;7;3;1;7;2;7;5;11;5;4;4;59
"52 Goiás";2;2;4;9;11;3;12;10;7;13;14;7;21;115
"53 Distrito Federal";5;2;2;6;1;5;3;1;1;4;-;1;5;36
"Total";62;93;125;155;178;195;222;257;281;279;262;210;281;2600
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
