 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Tortura: Sim
Pai: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";1;-;1;-;2;4;1;1;4;4;1;1;1;21
"12 Acre";-;2;-;6;1;1;4;2;3;-;3;2;1;25
"13 Amazonas";3;4;3;6;7;5;8;5;7;4;12;6;7;77
"14 Roraima";-;1;1;2;1;2;-;-;2;1;6;2;1;19
"15 Pará";5;15;6;3;10;13;6;17;11;10;22;19;25;162
"16 Amapá";1;1;-;1;2;-;1;2;1;3;2;-;-;14
"17 Tocantins";-;1;2;2;3;5;4;1;5;3;4;2;4;36
"21 Maranhão";-;1;2;3;2;1;2;3;9;5;4;8;8;48
"22 Piauí";1;2;1;4;5;6;6;6;14;3;7;8;3;66
"23 Ceará";2;1;4;3;6;3;3;10;3;10;8;12;8;73
"24 Rio Grande do Norte";-;2;5;1;3;2;-;2;2;1;2;-;6;26
"25 Paraíba";1;2;1;4;3;1;1;1;3;4;4;2;2;29
"26 Pernambuco";5;7;4;6;10;8;5;15;37;13;19;16;29;174
"27 Alagoas";-;-;1;-;-;2;-;1;4;6;1;3;1;19
"28 Sergipe";-;-;-;-;-;-;-;2;-;1;-;-;1;4
"29 Bahia";8;9;6;4;6;15;13;17;14;14;18;7;15;146
"31 Minas Gerais";3;9;15;26;48;49;73;50;65;60;65;45;50;558
"32 Espírito Santo";-;-;7;1;-;3;4;4;11;6;3;3;8;50
"33 Rio de Janeiro";3;5;11;27;25;15;12;18;18;31;33;25;37;260
"35 São Paulo";22;30;25;41;48;45;74;192;183;115;90;70;110;1045
"41 Paraná";5;10;9;13;19;13;30;19;54;36;41;36;46;331
"42 Santa Catarina";2;3;12;18;9;24;28;21;26;14;16;14;8;195
"43 Rio Grande do Sul";3;14;21;41;38;33;21;21;29;13;13;2;1;250
"50 Mato Grosso do Sul";5;4;2;6;11;11;7;5;4;4;6;3;7;75
"51 Mato Grosso";2;1;11;4;5;9;9;5;6;8;5;4;7;76
"52 Goiás";2;5;4;7;11;9;14;17;19;14;21;24;17;164
"53 Distrito Federal";2;3;6;9;3;3;2;5;3;7;7;3;12;65
"Total";76;132;160;238;278;282;328;442;537;390;413;317;415;4008
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
