Sigla;Código;Estado;2009;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
AC;12;Acre;691132;746386;758786;776463;790101;803513;816687;829619;869265;881935;894470;906876;
AL;27;Alagoas;3156108;3143384;3165472;3300935;3321730;3340932;3358963;3375823;3322820;3337357;3351543;3365351;
AM;13;Amazonas;3393369;3538387;3590985;3807921;3873743;3938336;4001667;4063614;4080611;4144597;4207714;4269995;
AP;16;Amapá;626609;684309;698602;734996;750912;766679;782295;797722;829494;845731;861773;877613;
BA;29;Bahia;14637364;14097534;14175341;15044137;15126371;15203334;15276566;15344447;14812617;14873064;14930634;14985284;
CE;23;Ceará;8547809;8530155;8606005;8778576;8842791;8904459;8963663;9020460;9075649;9132078;9187103;9240580;
DF;53;Distrito Federal;2606885;2609998;2648532;2789761;2852372;2914830;2977216;3039444;2974703;3015268;3055149;3094325;
ES;32;Espírito Santo;3487199;3547055;3578067;3839366;3885049;3929911;3973697;4016356;3972388;4018650;4064052;4108508;
GO;52;Goiás;5926300;6080716;6154996;6434048;6523222;6610681;6695855;6778772;6921161;7018354;7113540;7206589;
MA;21;Maranhão;6367138;6645761;6714314;6794301;6850884;6904241;6954036;7000229;7035055;7075181;7114598;7153262;
MG;31;Minas Gerais;20033665;19728701;19855332;20593356;20734097;20869101;20997560;21119536;21040662;21168791;21292666;21411923;
MS;50;Mato Grosso do Sul;2360498;2477542;2500365;2587269;2619657;2651235;2682386;2713147;2748023;2778986;2809394;2839188;
MT;51;Mato Grosso;3001692;3075936;3115336;3182113;3224357;3265486;3305531;3344544;3441998;3484466;3526220;3567234;
PA;15;Pará;7431020;7688593;7777543;7969654;8073924;8175113;8272724;8366628;8513497;8602865;8690745;8777124;
PB;25;Paraíba;3769977;3791315;3815171;3914421;3943885;3972202;3999415;4025558;3996496;4018127;4039277;4059905;
PE;26;Pernambuco;8810256;8864906;8931028;9208550;9277727;9345173;9410336;9473266;9496294;9557071;9616621;9674793;
PI;22;Piauí;3145325;3140328;3160748;3184166;3194718;3204028;3212180;3219257;3264531;3273227;3281480;3289290;
PR;41;Paraná;10686247;10512349;10577755;10997465;11081692;11163018;11242720;11320892;11348937;11433957;11516840;11597484;
RJ;33;Rio de Janeiro;16010429;16112678;16231365;16369179;16461173;16550024;16635996;16718956;17159960;17264943;17366189;17463349;
RN;24;Rio Grande do Norte;3137541;3198657;3228198;3373959;3408510;3442175;3474998;3507003;3479010;3506853;3534165;3560903;
RO;11;Rondônia;1503928;1576455;1590011;1728214;1748531;1768204;1787279;1805788;1757589;1777225;1796460;1815278;
RR;14;Roraima;421499;460165;469524;488072;496936;505665;514229;522636;576568;605761;631181;652713;
RS;43;Rio Grande do Sul;10914128;10733030;10768025;11164043;11207274;11247972;11286500;11322895;11329605;11377239;11422973;11466630;
SC;42;Santa Catarina;6118743;6317054;6362734;6634254;6727148;6819190;6910553;7001161;7075494;7164788;7252502;7338473;
SE;28;Sergipe;2019679;2089819;2110867;2195662;2219574;2242937;2265779;2288116;2278308;2298696;2318822;2338474;
SP;35;São Paulo;41384039;41587182;41901219;43663669;44035304;44396484;44749699;45094866;45538936;45919049;46289333;46649132;
TO;17;Tocantins;1292051;1400892;1417694;1478164;1496880;1515126;1532902;1550194;1555229;1572866;1590248;1607363;
