Sigla;Código;Estado;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AC;12;Acre;7407821;8342356;8949434;10137925;11473930;13458698;13622802;13754240;14272941;15331123;15630017;16476371;21374440,01
AL;27;Alagoas;24182388;27133038;31657321;34650397;37282529;40974994;46367211;49468741;52851067;54413047;58963729;63202349;76265620,29
AM;13;Amazonas;50559840;60877123;70734401;72242701;83051233;86668644;86568184;89039782;93240191;100109235;108181091;116019139;131531037,8
AP;16;Amapá;7490656;8237795;9409228;11130868;12763486;13400284;13861293;14342135;15481908;16795207;17496661;18469115;20099850,52
BA;29;Bahia;137942481;154419547;166602817;182572530;204844274;223929966;245043690;258738970;268724090;286239541;293240504;305320813;352617851,8
CE;23;Ceará;67199958;79336299;89695828;96973753;109036556;126054472;130629849;138422521;147921534;155903825;163575327;166914536;194884801,5
DF;53;Distrito Federal;124323753;144174102;154568954;164101336;175906726;197432059;215612863;235540045;244722249;254817205;273613711;265847334;286943782
ES;32;Espírito Santo;69215361;85310285;105976222;116850581;117274347;128783781;120365980;109264423;113399937;137020055;137345595;138445922;186336504,8
GO;52;Goiás;92865743;106770109;121296721;138757825;151300175;165015318;173632450;181759604;191948301;195681724;208672492;224126112;269627873,9
MA;21;Maranhão;40994571;46309633;52143535;60490109;67694845;76842028;78475994;85310038;89542757;98179496;97339938;106915962;124980720
MG;31;Minas Gerais;287443848;351123418;400124687;442282830;488004903;516633984;519331213;544810468;576375545;614875820;651872684;682786116;857593213,7
MS;50;Mato Grosso do Sul;39517742;47270656;55133162;62013201;69203201;78950133;83082555;91892285;96396434;106969142;106943246;122627726;142203766,4
MT;51;Mato Grosso;52693417;56600955;69153957;79665691;89212919;101234520;107418319;123880296;126845898;137442853;142122028;178649564;233390202,6
PA;15;Pará;61665096;82684518;98710736;107080881;121224847;124584945;130899505;138107514;155232404;161349602;178376984;215935604;262904979,1
PB;25;Paraíba;30230406;33522492;37109137;42488349;46377299;52936483;56141890;59104781;62396776;64373595;67986074;70292034;77470331,03
PE;26;Pernambuco;79760958;97189760;110161559;127989043;141150252;155142648;156963668;167345031;181609501;186351975;197853378;193307317;220813522,5
PI;22;Piauí;18946449;22269149;25941362;28637685;31283593;37723497;39149686;41416937;45365541;50378418;52780785;56391257;64028302,82
PR;41;Paraná;196675612;225205255;257122269;285620202;333481152;348084191;376962822;401814164;421497870;440029403;466377036;487930594;549973061,9
RJ;33;Rio de Janeiro;391650854;449858101;512767905;574884973;628226069;671076844;659138952;640401206;671605668;758859047;779927917;753823711;949300770,4
RN;24;Rio Grande do Norte;30941054;36184502;40992925;46412208;51518457;54022584;57250867;59677389;64305995;66969562;71336780;71577107;80180733,09
RO;11;Rondônia;19725010;23907887;27574714;30112720;31121413;34030982;36563333;39460359;43516147;44913978;47091336;51598741;58170095,73
RR;14;Roraima;5671975;6639150;7303719;7711467;9010725;9744122;10242905;11013237;12104709;13369988;14292227;16024276;18202579,49
RS;43;Rio Grande do Sul;204344940;241249164;265056416;287587019;332292726;357816424;381992601;408789528;423270047;457293958;482464177;470941846;581283677,3
SC;42;Santa Catarina;129098535;153726007;174068322;191794652;214512242;242553371;249079642;256754669;277270237;298227090;323263857;349275016;428570888,8
SE;28;Sergipe;21707243;26404893;29108272;32853181;35335986;37472432;38556530;38877438;40711486;42017981;44689483;45409657;51861396,89
SP;35;São Paulo;1127093826;1294695988;1436672709;1559033444;1715238417;1858196055;1939901907;2038757382;2120761635;2210561949;2348338000;2377638980;2719751231
TO;17;Tocantins;13689804;16404816;18345688;20684430;23796656;26189323;28930291;31584816;34108132;35666183;39355941;43649803;51780764,39
