Sigla;Código;Estado;2009;2010;2011;2012;2013;2014;2016;2017;2018;2019;2020;2021;
AC;12;Acre;62600;59779;56272;70769;78050;78561;82795;86360;90534;87465;90737;89118;
AL;27;Alagoas;395459;414112;425137;436270;438656;439655;396054;407872;413983;389492;406800;406358;
AM;13;Amazonas;263064;278893;307285;332516;358836;358516;370487;388757;409529;388546;410417;399388;
AP;16;Amapá;44678;44096;50832;53417;53608;55527;62371;70029;77227;75598;76700;74358;
BA;29;Bahia;1581639;1662069;1752993;1808346;1800055;1808376;1772853;1843633;1858143;1757931;1839526;1824391;
CE;23;Ceará;947720;1022259;1076764;1107009;1095316;1089813;1042087;1048606;1071704;1020141;1085049;1076609;
DF;53;Distrito Federal;76327;98552;77591;99950;93272;86524;87255;79740;73888;67405;83939;88132;
ES;32;Espírito Santo;190428;189983;192365;201274;201671;190049;180737;169460;181139;168839;196264;196064;
GO;52;Goiás;305949;326084;333567;348375;340341;336606;306444;310483;310220;278556;305149;301567;
MA;21;Maranhão;846345;871297;920048;951611;962011;985136;951942;987510;987370;933326;961854;951591;
MG;31;Minas Gerais;1117946;1135715;1159172;1197240;1177574;1143020;1061912;1063815;1057280;976127;1075746;1089140;
MS;50;Mato Grosso do Sul;127768;132887;134447;142249;146539;144736;130877;126694;130336;114659;130468;127877;
MT;51;Mato Grosso;166456;167693;171905;184686;187262;185619;163610;162284;162977;143362;161686;160874;
PA;15;Pará;635204;680804;772311;813367;856932;883514;894412;935715;969576;930274;965697;945011;
PB;25;Paraíba;444729;450525;487779;506234;510357;529081;507358;517658;526330;505183;519754;512298;
PE;26;Pernambuco;1035989;1045268;1115851;1151313;1125465;1127399;1074458;1159969;1182344;1131619;1176110;1165571;
PI;22;Piauí;413867;420392;444696;455182;472620;478325;456851;448529;456409;439580;453550;450307;
PR;41;Paraná;482335;466607;444050;449794;429942;406819;371108;371384;380141;336822;382870;387066;
RJ;33;Rio de Janeiro;658726;685301;734902;789827;841885;818041;793134;818624;878936;824797;940502;936893;
RN;24;Rio Grande do Norte;321710;338424;349595;364751;372825;373359;355591;346683;358286;340600;363562;360216;
RO;11;Rondônia;116211;114112;112950;117806;113726;109905;90285;83630;81938;71422;81853;80109;
RR;14;Roraima;41201;42213;45575;47303;49384;51046;49015;43725;48208;44428;52280;48896;
RS;43;Rio Grande do Sul;462966;453761;450778;463519;456962;436156;380846;365614;369036;327574;378103;381463;
SC;42;Santa Catarina;150685;143700;140774;147043;143833;137427;121999;120522;122943;107103;129436;133034;
SE;28;Sergipe;220175;230418;253134;268330;256838;266084;253052;279622;293106;280673;286867;281094;
SP;35;São Paulo;1138129;1174844;1209819;1254284;1377082;1339075;1477705;1542425;1581737;1386845;1600229;1599678;
TO;17;Tocantins;122609;128432;131714;139690;139251;137609;128530;126005;121906;110090;118870;117837;
