População  residente -  total
Sigla;Código;Estado;1996;2000;2007;2010;2022;
AC;12;Acre;483593;557882;655385;733559;830018;
AL;27;Alagoas;2633251;2827856;3037103;3120494;3127683;
AM;13;Amazonas;2389279;2817252;3221939;3483985;3941613;
AP;16;Amapá;379459;477032;587311;669526;733759;
BA;29;Bahia;12541675;13085769;14080654;14016906;14141626;
CE;23;Ceará;6809290;7431597;8185286;8452381;8794957;
DF;53;Distrito Federal;1821946;2051146;2455903;2570160;2817381;
ES;32;Espírito Santo;2802707;3097498;3351669;3514952;3833712;
GO;52;Goiás;4514967;5004197;5647035;6003788;7056495;
MA;21;Maranhão;5222183;5657552;6118995;6574789;6776699;
MG;31;Minas Gerais;16672613;17905134;19273506;19597330;20539989;
MS;50;Mato Grosso do Sul;1927834;2078070;2265274;2449024;2757013;
MT;51;Mato Grosso;2235832;2505245;2854642;3035122;3658649;
PA;15;Pará;5510849;6195965;7065573;7581051;8120131;
PB;25;Paraíba;3305616;3444794;3641395;3766528;3974687;
PE;26;Pernambuco;7399071;7929154;8485386;8796448;9058931;
PI;22;Piauí;2673085;2843428;3032421;3118360;3271199;
PR;41;Paraná;9003804;9564643;10284503;10444526;11444380;
RJ;33;Rio de Janeiro;13406308;14392106;15420375;15989929;16055174;
RN;24;Rio Grande do Norte;2558660;2777509;3013740;3168027;3302729;
RO;11;Rondônia;1229306;1380952;1453756;1562409;1581196;
RR;14;Roraima;247131;324397;395725;450479;636707;
RS;43;Rio Grande do Sul;9634688;10187842;10582840;10693929;10882965;
SC;42;Santa Catarina;4875244;5357864;5866252;6248436;7610361;
SE;28;Sergipe;1624020;1784829;1939426;2068017;2210004;
SP;35;São Paulo;34119110;37035456;39827570;41262199;44411238;
TO;17;Tocantins;1048642;1157690;1243627;1383445;1511460;
