estado,ano,suicidios
Acre,2009,31
Acre,2010,40
Acre,2011,41
Acre,2012,43
Acre,2013,44
Acre,2014,49
Acre,2015,39
Acre,2016,56
Acre,2017,64
Acre,2018,59
Acre,2019,72
Acre,2020,71
Acre,2021,70
Alagoas,2009,110
Alagoas,2010,84
Alagoas,2011,102
Alagoas,2012,108
Alagoas,2013,141
Alagoas,2014,117
Alagoas,2015,119
Alagoas,2016,113
Alagoas,2017,106
Alagoas,2018,139
Alagoas,2019,130
Alagoas,2020,167
Alagoas,2021,159
Amapá,2009,26
Amapá,2010,29
Amapá,2011,37
Amapá,2012,21
Amapá,2013,46
Amapá,2014,33
Amapá,2015,51
Amapá,2016,36
Amapá,2017,45
Amapá,2018,60
Amapá,2019,60
Amapá,2020,52
Amapá,2021,64
Amazonas,2009,152
Amazonas,2010,162
Amazonas,2011,188
Amazonas,2012,185
Amazonas,2013,225
Amazonas,2014,238
Amazonas,2015,263
Amazonas,2016,194
Amazonas,2017,209
Amazonas,2018,237
Amazonas,2019,255
Amazonas,2020,317
Amazonas,2021,299
Bahia,2009,379
Bahia,2010,436
Bahia,2011,431
Bahia,2012,483
Bahia,2013,499
Bahia,2014,456
Bahia,2015,502
Bahia,2016,527
Bahia,2017,614
Bahia,2018,561
Bahia,2019,658
Bahia,2020,742
Bahia,2021,861
Ceará,2009,500
Ceará,2010,488
Ceará,2011,555
Ceará,2012,510
Ceará,2013,591
Ceará,2014,567
Ceará,2015,566
Ceará,2016,594
Ceará,2017,645
Ceará,2018,660
Ceará,2019,631
Ceará,2020,607
Ceará,2021,820
Distrito Federal,2009,138
Distrito Federal,2010,162
Distrito Federal,2011,115
Distrito Federal,2012,151
Distrito Federal,2013,148
Distrito Federal,2014,157
Distrito Federal,2015,147
Distrito Federal,2016,167
Distrito Federal,2017,184
Distrito Federal,2018,206
Distrito Federal,2019,206
Distrito Federal,2020,200
Distrito Federal,2021,196
Espírito Santo,2009,150
Espírito Santo,2010,167
Espírito Santo,2011,170
Espírito Santo,2012,184
Espírito Santo,2013,161
Espírito Santo,2014,183
Espírito Santo,2015,196
Espírito Santo,2016,179
Espírito Santo,2017,213
Espírito Santo,2018,244
Espírito Santo,2019,254
Espírito Santo,2020,255
Espírito Santo,2021,265
Goiás,2009,312
Goiás,2010,306
Goiás,2011,339
Goiás,2012,405
Goiás,2013,423
Goiás,2014,451
Goiás,2015,436
Goiás,2016,490
Goiás,2017,494
Goiás,2018,500
Goiás,2019,596
Goiás,2020,602
Goiás,2021,660
Maranhão,2009,154
Maranhão,2010,211
Maranhão,2011,217
Maranhão,2012,210
Maranhão,2013,243
Maranhão,2014,256
Maranhão,2015,283
Maranhão,2016,290
Maranhão,2017,317
Maranhão,2018,313
Maranhão,2019,335
Maranhão,2020,339
Maranhão,2021,380
Mato Grosso,2009,191
Mato Grosso,2010,163
Mato Grosso,2011,159
Mato Grosso,2012,188
Mato Grosso,2013,183
Mato Grosso,2014,160
Mato Grosso,2015,151
Mato Grosso,2016,180
Mato Grosso,2017,201
Mato Grosso,2018,229
Mato Grosso,2019,244
Mato Grosso,2020,265
Mato Grosso,2021,266
Mato Grosso do Sul,2009,215
Mato Grosso do Sul,2010,194
Mato Grosso do Sul,2011,212
Mato Grosso do Sul,2012,212
Mato Grosso do Sul,2013,226
Mato Grosso do Sul,2014,208
Mato Grosso do Sul,2015,233
Mato Grosso do Sul,2016,225
Mato Grosso do Sul,2017,261
Mato Grosso do Sul,2018,268
Mato Grosso do Sul,2019,265
Mato Grosso do Sul,2020,245
Mato Grosso do Sul,2021,308
Minas Gerais,2009,1126
Minas Gerais,2010,1108
Minas Gerais,2011,1261
Minas Gerais,2012,1287
Minas Gerais,2013,1175
Minas Gerais,2014,1363
Minas Gerais,2015,1307
Minas Gerais,2016,1301
Minas Gerais,2017,1522
Minas Gerais,2018,1537
Minas Gerais,2019,1745
Minas Gerais,2020,1665
Minas Gerais,2021,1805
Paraná,2009,661
Paraná,2010,596
Paraná,2011,611
Paraná,2012,646
Paraná,2013,671
Paraná,2014,643
Paraná,2015,737
Paraná,2016,784
Paraná,2017,786
Paraná,2018,932
Paraná,2019,961
Paraná,2020,943
Paraná,2021,1110
Paraíba,2009,166
Paraíba,2010,158
Paraíba,2011,164
Paraíba,2012,187
Paraíba,2013,197
Paraíba,2014,158
Paraíba,2015,223
Paraíba,2016,192
Paraíba,2017,251
Paraíba,2018,235
Paraíba,2019,255
Paraíba,2020,259
Paraíba,2021,277
Pará,2009,187
Pará,2010,191
Pará,2011,222
Pará,2012,243
Pará,2013,234
Pará,2014,212
Pará,2015,266
